cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn
00738A106,ADTN,NA,23.66,1518.84,376.142,0.292152964,K,1,4/30/2008,1,5.198647
054937107,BBT,NA,34.29,18747.88,12842,0.220604267,BKR,1,4/30/2008,1,-8.223972
05508R106,BGS,NA,8.08,297.174223,245.2,0.408123113,L,1,4/30/2008,1,20.29703
055639108,BZP,NA,19.48,1446.671895,90.74,-0.198050999,L,1,4/30/2008,1,16.73511
056032105,BTUI,NA,9.75,91.232281,48.935,0.062231888,K,1,4/30/2008,1,21.1282
057755100,BWINA,NA,21.6,356.57,391.836,0.162143369,ALB,1,4/30/2008,1,-2.843043
05945F103,BANF,NA,43.73,665.56,386.177,0.205972909,K,1,4/30/2008,1,-0.6860279
203668108,CYH,NA,37.53,3611.13,2118.751,0.244372612,L,1,4/30/2008,1,-3.996803
204166102,CVLT,NA,12.3,537.792137,114.689,0.243894646,K,1,4/30/2008,1,42.35772
205638109,CPWR,NA,7.54,2067.575505,979.896,0.261762552,K,1,4/30/2008,1,35.14589
20563P101,CIX,NA,6.33,78.71,119.072,0.19018739,ALB,1,4/30/2008,1,6.477093
207410101,CNMD,NA,25.52,730.48,581.533,0.162420633,K,1,4/30/2008,1,4.58464
262037104,DRQ,NA,57.16,2332.03,599.362,0.249346288,L,1,4/30/2008,1,2.064381
263534109,DD,NA,48.91,44053.53046,15198.65,0.353001017,L,1,4/30/2008,1,-1.225112
26483E100,DNB,NA,84.3,4774.111489,-224.00845,NULL,L,1,4/30/2008,1,9.04511
30161Q104,EXEL,NA,7.61,799.611968,72.081,-4.077847466,K,1,4/30/2008,1,-16.95138
302081104,EXLS,NA,25.12,722.64,174.092,0.138506738,K,1,4/30/2008,1,-20.62102
302301106,EZPW,NA,12.14,538.63,229.769,0.31101257,ALB,1,4/30/2008,1,4.036244
30241L109,FEIC,NA,21.87,797.45,491.873,0.104399598,K,1,4/30/2008,1,7.178784
303075105,FDS,NA,60.03,2873.68,430.037,0.466029381,L,1,4/30/2008,1,8.104384
309562106,FFKT,NA,24.5,180.684193,174.148,0.154879757,LIQ,1,4/30/2008,1,2.428036
035290105,AXE,NA,56.97,2024.155038,1077,0.415320334,L,1,4/30/2008,1,14.11269
03662Q105,ANSS,NA,40.23,3151.481177,703.681,0.237546541,K,1,4/30/2008,1,17.57395
037598109,APOG,NA,22.31,641.31,286.805,0.304833053,K,1,4/30/2008,1,6.758103
038336103,ATR,NA,44.15,3002.77,1263.304,0.258390127,L,1,4/30/2008,1,1.291053
040047102,ARNA,NA,5.59,412.32,336.399,-0.586549846,K,1,4/30/2008,1,-8.22898
157210105,CEVA,NA,9.78,196.841473,114.388,0.002279974,K,1,4/30/2008,1,-14.41718
171046105,CBK,NA,11.85,421.561048,220.027,0.267992524,L,1,4/30/2008,1,-5.063291
171484108,CHDN,NA,51.05,689.4,393.429,0.137406351,K,1,4/30/2008,1,-16.27816
171871106,CBB,NA,4.64,1152.461851,-695.75,NULL,L,1,4/30/2008,1,-9.267241
237934104,DTLK,NA,4.65,58.02,39.485,0.132835254,K,1,4/30/2008,1,2.365591
29355M200,ENA,NA,4.29,73.6,13.336,-1.198916845,L,1,4/30/2008,1,1.165501
29384R105,ENTR,NA,4.28,293.87,190.398,-0.009247469,IPO,1,4/30/2008,1,21.02804
29530P102,ERIE,NA,53.42,2819.75,1065.877,0.231427147,K,1,4/30/2008,1,-4.174467
296056104,ESCA,NA,6.9,87.613343,91.742,0.171461527,LIQ,1,4/30/2008,1,-8.26087
298736109,EEFT,NA,17.68,865.53,798.543,0.125340219,K,1,4/30/2008,1,10.63348
462846106,IRM,NA,27.47,5520.893679,2146.681,0.222238676,L,1,4/30/2008,1,9.319258
081437105,BMS,NA,26.3,2620.184393,1810.098438,0.232331693,L,1,4/30/2008,1,1.955738
21036P207,STZ.B,NA,18.56,3990.71,3306.8,0.088621013,ALB,1,4/30/2008,0.144113,15.67888
402307102,GIFI,NA,39.54,562.742611,246.85,0.289856295,K,1,4/30/2008,1,4.903524
404132102,HCC,NA,24.68,2845.604,2440.365,0.227078488,L,1,4/30/2008,1,-3.322528
404172108,HFFC,NA,16,63.24,64.439,0.147057926,LIQ,1,4/30/2008,1,10.69559
40424G108,HMNF,NA,22.25,92.96,99.388,0.164054011,LIQ,1,4/30/2008,1,-23.98859
404609109,HCKT,NA,3.98,169.73155,98.819,0.18915992,K,1,4/30/2008,1,32.66331
405024100,HAE,NA,57.23,1466.332066,473.79,0.20459218,L,1,4/30/2008,1,-1.520182
405217100,HAIN,NA,24.68,989.42,754.356,0.135052983,K,1,4/30/2008,1,16.57212
452521107,IMMR,NA,11.29,344.47,141.787,-0.063877745,K,1,4/30/2008,1,-24.09212
002474104,AZZ,NA,26.68,323.19,150.59,0.338485235,L,1,4/30/2008,1,17.61619
00508B102,ACTU,NA,4.07,244.433891,100.973,0.193166742,K,1,4/30/2008,1,21.86732
00762W107,ABCO,NA,46.62,834.424807,152.476,0.373576868,K,1,4/30/2008,1,-0.965251
05367P100,AVID,NA,20.87,792.22,787.213,0.049267552,K,1,4/30/2008,1,2.827024
058498106,BLL,NA,53.78,5249.522645,1360.84125,0.458071709,L,1,4/30/2008,1,1.154887
058516105,BTN,NA,4.8,66.520502,43.027,0.031915149,L,1,4/30/2008,1,-10.41667
203607106,CBU,NA,25.49,761.95,478.784,0.127861861,L,1,4/30/2008,1,-5.335426
203900105,JCS,NA,11.45,98.65,84.58,0.179639799,L,1,4/30/2008,1,-1.310044
205768203,CRK,NA,45.49,2070.333829,1143.54,0.178104758,L,1,4/30/2008,1,26.07166
206708109,CNQR,NA,33.14,1459.782601,291.198,0.132312993,K,1,4/30/2008,1,10.65178
30049A107,EPM,NA,4.99,133.613408,32.526,-0.140865015,L,1,4/30/2008,1,22.24449
30226D106,EXTR,NA,3.03,351.27,230.601,0.020968667,K,1,4/30/2008,1,7.260726
307000109,FDO,NA,21.4,2989.49,1207.043,0.376633385,L,1,4/30/2008,1,0
307675108,FARM,NA,24.72,397.38,273.175,0.026903508,K,1,4/30/2008,1,-3.519418
437076102,HD,NA,28.8,48673,18402,0.446086452,L,1,4/30/2008,1,-5
439038100,HOFT,NA,20.97,279.52,140.826,0.236873873,K,1,4/30/2008,1,-3.306181
043113208,ARTNA,NA,18.56,137.95,111.042,0.130339648,AUB,1,4/30/2008,1,0.5783607
099724106,BWA,NA,49.15,5720.91,2423.2,0.283052351,L,1,4/30/2008,1,5.208545
101119105,BPFH,NA,9.3,350.342513,688.62,0.118846741,K,1,4/30/2008,1,-9.354838
101137107,BSX,NA,13.33,19926.7422,17621,0.102037342,L,1,4/30/2008,1,-0.300075
112463104,BKD,NA,26.18,2668.93,1686.121,0.0073632,L,1,4/30/2008,1,0.7639419
11373M107,BRKL,NA,10.8,628.951716,507.966,0.059791403,K,1,4/30/2008,1,-6.944445
115736100,BWS,NA,16.68,705.880253,560.971,0.229419268,L,1,4/30/2008,1,1.258993
116794108,BRKR,NA,12.12,1980.03,258.659,0.489629392,K,1,4/30/2008,1,-3.960396
125071100,CDI,NA,27.2,554.26,334.978,0.166010133,L,1,4/30/2008,1,5.267982
125509109,CI,NA,42.71,11962.46,4712,0.289364354,L,1,4/30/2008,1,-4.940295
126117100,CNA,NA,26.81,7212.23,10196,0.119551282,L,1,4/30/2008,0.15498,13.96573
126389105,CSPI,NA,5.93,22.624587,25.763,0.175984237,LIQ,1,4/30/2008,1,-0.8431703
