cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn
004631107,ACME,NA,5.01,80.3954,101.1966667,NULL,K,1,6/30/2007,1,-20.95808
00817Y108,AET,NA,49.4,25307.6207,10135.398,NULL,L,1,6/30/2007,1,-2.692308
008252108,AMG,NA,128.76,4336.8,735.367,NULL,L,1,6/30/2007,1,-12.23983
008272106,AFFM,NA,15.25,234.2705,208.699,NULL,K,1,6/30/2007,0.8496,-8.131147
05334D107,AUXL,NA,15.94,577.4424,34.767,NULL,K,1,6/30/2007,1,9.598495
053611109,AVY,NA,66.48,7083.45,1741.3,NULL,L,1,6/30/2007,1,-7.731648
05379B107,AVA,NA,21.55,1136.85,1357.667,NULL,LU,1,6/30/2007,1,-8.027843
054303102,AVP,NA,36.75,16128,1224.810417,NULL,L,1,6/30/2007,1,-2.013605
05453N100,AWRE,NA,5.4,127.98,51.684,NULL,K,1,6/30/2007,1,13.42593
05561Q201,BOKF,NA,53.42,3591.18,1785.948,NULL,K,1,6/30/2007,0.9,-6.364657
055662100,BSM,NA,6.55,138.146,24.659,NULL,L,1,6/30/2007,1,-19.08397
057224107,BHI,NA,84.13,26949.6985,5660.097,NULL,L,1,6/30/2007,1,-6.038274
05874B107,BYI,NA,26.42,1425.9402,144.078,NULL,L,1,6/30/2007,1,-6.888721
059692103,BXS,NA,24.46,2010.59,1126.003,NULL,L,1,6/30/2007,1,-4.538021
232517102,CYBE,NA,13.45,119.7587,74.803,NULL,K,1,6/30/2007,1,-7.211896
232806109,CY,NA,23.29,3521.18,1003.811,NULL,L,1,6/30/2007,1,7.599828
233331107,DTE,NA,48.22,8489.8545,7383,NULL,LU,1,6/30/2007,1,-3.815844
253827109,DRAD,NA,4.1991,79.02,55.867,NULL,K,1,6/30/2007,1,-15.22043
254543101,DIOD,NA,41.77,1094.17,309.23,NULL,K,1,6/30/2007,1,-4.58463
254687106,DIS,NA,34.14,67652.83,34389,NULL,L,1,6/30/2007,0.95,-3.339192
25848T109,HILL,NA,3.6,164.1,149.716,NULL,K,1,6/30/2007,1,5.277778
352451108,FBTX,NA,14.9,351.85,354.062,NULL,K,1,6/30/2007,1,-27.98658
361086101,FRM,NA,7.74,272.75,62.86,NULL,L,1,6/30/2007,1,0.7751938
367220100,GSX,NA,2.37,227.76,77.621,NULL,L,1,6/30/2007,0.8772,-5.063291
368682100,GY,NA,13.07,735.8409,-64.8,NULL,L,1,6/30/2007,1,-9.563887
371901109,GNTX,NA,19.69,2810.01,745.844,NULL,K,1,6/30/2007,1,0.7371488
37244C101,GHDX,NA,18.8,519.52,36.34,NULL,K,1,6/30/2007,1,5.851064
428236103,HPQ,NA,44.62,116854.8243,36869.68333,NULL,L,1,6/30/2007,1,3.160018
03076C106,AMP,NA,63.57,14954.73,7731,NULL,L,1,6/30/2007,1,-5.191128
