cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn
028591105,ANAT,NA,106.7,2825.4,3875.7,0.205483959,LIQ,1,3/31/2008,1,-4.761012
030506109,AMWD,NA,20.56,291.971224,223.238,0.220047903,K,1,3/31/2008,1,8.219845
03071H100,AMSF,NA,12.64,237.913088,208.57,0.349158556,K,1,3/31/2008,1,-12.81646
03076K108,ABCB,NA,16.06,217.721726,190.389,0.142222992,K,1,3/31/2008,1,6.724782
032332504,ASYS,NA,12.04,109.21484,72.211,0.035479359,K,1,3/31/2008,1,-3.322259
063904106,OZRK,NA,23.9,402.051536,190.829,0.251830287,K,1,3/31/2008,1,-4.895599
179895107,CLC,NA,35.55,1794.970337,638.71,0.237863226,L,1,3/31/2008,1,-18.28992
190897108,COBZ,NA,13.02,299.76,189.27,0.211243215,K,1,3/31/2008,1,14.66974
199908104,FIX,NA,13.01,521.71,262.578,0.213814562,L,1,3/31/2008,1,-4.534973
200525103,CBSH,NA,42.03,3019.451129,1527.686,0.232181738,K,1,3/31/2008,1,-3.497502
251893103,DV,NA,41.84,2985.74424,719.218,0.245467994,L,1,3/31/2008,1,-36.23327
25264R207,DHIL,NA,76.51,180.88,33.832,0.414602936,BKR,1,3/31/2008,1,-17.84081
318916103,FBMS,NA,20.8,62.18,36.281,0.169040609,LIQ,1,3/31/2008,1,-4.375
31946M103,FCNCA,NA,139.35,1542.37,1441.208,0.144787454,ALB,1,3/31/2008,1,-1.019017
320209109,FFBC,NA,13.45,502.541738,276.583,0.202525094,K,1,3/31/2008,1,2.453532
32021X105,FFNM,NA,7.3,21.06,33.828,-0.042141603,LIQ,1,3/31/2008,1,5.342466
419131107,HAUP,NA,3.38,33.273693,25.097,0.188667968,K,1,3/31/2008,1,-4.43787
421906108,HCSG,NA,20.64,885.91008,194.718,0.24177015,K,1,3/31/2008,1,25.35254
477143101,JBLU,NA,5.8,1300.54422,1228,0.140690817,K,1,3/31/2008,1,13.10345
049513104,ATML,NA,3.48,1544.84,831.97,0.218994048,K,1,3/31/2008,1,-6.896552
049560105,ATO,NA,25.5,2293.920101,2410.908,0.184536283,LU,1,3/31/2008,1,-8.54902
102565108,BWL.A,NA,15.4,79.09,41.701,0.157564238,ALB,1,3/31/2008,1,3.290884
108763103,BRID,NA,5.92,58.35,50.536,0.048193829,LIQ,1,3/31/2008,0.6,-3.718328
109641100,EAT,NA,18.55,1877.021002,644.889,0.636409422,L,1,3/31/2008,1,-22.31806
114340102,BRKS,NA,9.72,665.53152,832.21,0.073525631,K,1,3/31/2008,1,-6.584362
12466Q104,CFFI,NA,27.6,83.41,65.224,0.215242142,LIQ,1,3/31/2008,1,-3.26087
12561W105,CNL,NA,22.18,1334.67,1389.31,0.102010351,LU,1,3/31/2008,1,-8.250676
12709P103,CCMP,NA,32.15,761.810004,416.603,0.177120664,K,1,3/31/2008,1,-5.909798
