cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn
776696106,ROP,NA,146.29,14634.03,5303.854,0.20074635,1,1 ,9/30/2014,1,8.3568
778296103,ROST,NA,75.58,15859.08019,2202.127,0.753017107,1,1 ,9/30/2014,1,6.8007
774341101,COL,NA,78.5,10605.27354,1947,0.544427324,1,1 ,9/30/2014,1,7.1975
775133101,ROG,NA,54.76,999.94,613.513,0.158251424,1,1 ,9/30/2014,1,24.8539
770323103,RHI,NA,49,6717.51,986.162,0.493612393,1,1 ,9/30/2014,1,11.7959
769397100,RVSB,NA,3.99,89.662841,99.366,0.060775316,1,1 ,9/30/2014,1,2.005
76973Q105,RRTS,NA,22.79,864.09,589.188,0.190361441,1,1 ,9/30/2014,1,-9.5656
772739207,RKT,NA,47.58,6812.03,5709.198,0.299442157,1,1 ,9/30/2014,1,7.5032
768573107,RVBD,NA,18.545,2961.94,866.568,0.186303608,M,1 ,9/30/2014,1,2.3996
759916109,RGEN,NA,19.91,650.023631,115.57,0.216749451,1,1 ,9/30/2014,1,26.67
760276105,RJET,NA,11.11,555.081808,872.4,0.368367347,1,1 ,9/30/2014,1,12.6913
760416107,FRBK,NA,3.89,147.100362,111.423,-0.018120137,1,1 ,9/30/2014,1,2.0566
760759100,RSG,NA,39.02,13879.32,7853.199,0.262186115,1,1 ,9/30/2014,1,-1.5889
76129W105,RVP,NA,2.9,79.38,24.537,-0.202855489,1,1 ,9/30/2014,1,24.4828
759663107,REMY,NA,20.53,656.864166,509.451,0.256273592,1,1 ,9/30/2014,1,-9.985387
75972A301,REGI,NA,10.15,429.411939,676.608,0.123139064,1,1 ,9/30/2014,1,3.7438
761525609,REV,NA,31.69,1758.22,-571.8,NULL,1,1 ,9/30/2014,0.75,8.236
761565100,REXX,NA,12.67,685.43,475.157,0.297490512,1,1 ,9/30/2014,1,-38.1215
761624105,REX,NA,72.88,596.31,344.018,0.347169265,1,1 ,9/30/2014,1,-0.1647
76169B102,RXN,NA,28.45,2883.452622,792,0.692119518,1,1 ,9/30/2014,1,3.8664
761713106,RAI,NA,59,31345.73,5605,0.55546476,1,1 ,9/30/2014,0.6,6.6271
78112T107,RBCN,NA,4.25,111.17,210.921,-0.125355963,1,1 ,9/30/2014,1,4.2353
781182100,RT,NA,5.89,366.53,464.709,0.103569098,1,1 ,9/30/2014,1,30.3905
781846209,RUSHA,NA,33.45,1293.48,856.871,0.283882609,1,1 ,9/30/2014,1,13.9013
783549108,R,NA,89.97,4774.502948,3445.273,0.674266652,1,1 ,9/30/2014,1,-1.6672
