cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn,
020409108,AFAM,NA,25.27,236.15,199.168,0.223388854,K,1,7/31/2011,1,-21.76494,
02076X102,ANR,NA,42.71,9688.88,2959.729,0.060568846,L,1,7/31/2011,1,-22.57083,
021441100,ALTR,NA,40.88,13245.15,2606.672,0.328846632,K,1,7/31/2011,1,-10.77879,
023177108,EPAX,NA,8.52,150.803753,73.513,0.117804961,K,1,7/31/2011,1,-10.02133,
023586100,UHAL,NA,90.14,1767.93,1264.277,0.436772425,K,1,7/31/2011,0.9,-18.67096,
025537101,AEP,NA,36.86,17776.61334,21269,0.178342184,LU,1,7/31/2011,1,6.223625,
025816109,AXP,NA,50.04,60155.8,17497.12083,0.420543807,L,1,7/31/2011,0.9,-0.6594724,
06643P104,BFIN,NA,8.15,171.744673,250.712,-0.00186518,K,1,7/31/2011,1,-4.290011,
073302101,BEAV,NA,39.8,4103.98,1778.8,0.174583623,K,1,7/31/2011,1,-12.48744,
13100M509,CALX,NA,18.34,856.653734,300.138,-0.041094476,L,1,7/31/2011,1,-19.41112,
131193104,ELY,NA,6.35,409.01,708.913,-0.036272624,L,1,7/31/2011,1,-11.34631,
139209100,CBNJ,NA,9.41,125.280233,141.104,0.026173916,LIQ,1,7/31/2011,1,-12.85866,
141665109,CECO,NA,22.69,1760.662861,926.193,0.419016706,K,1,7/31/2011,1,-25.20934,
144577103,CRZO,NA,38.4,1495.18,459.635,0.189214681,K,1,7/31/2011,1,-21.82292,
149847105,CBEY,NA,11.23,351.3,175.104,0.333667567,K,1,7/31/2011,1,-17.27516,
150838100,CGI,NA,13.68,308.03,200.798,0.397804403,L,1,7/31/2011,1,-14.32749,
225310101,CACC,NA,79.31,2029.65,498.034,0.518613279,K,1,7/31/2011,1,-12.8231,
229899109,CFR,NA,53.88,3299.893747,2097.351,0.136129304,L,1,7/31/2011,1,-4.497105,
230215105,CFI,NA,8.92,118.32,80.937,0.245254602,L,1,7/31/2011,1,-4.372197,
288853104,PERY,NA,23.37,381.91,389.686,0.157908207,K,1,7/31/2011,1,-1.668806,
291005106,ESC,NA,19.65,870.13,321.574,0.115664396,L,1,7/31/2011,1,-10.99237,
291641108,EDE,NA,20.41,852.66208,900.39,0.183559998,LU,1,7/31/2011,1,1.66585,
29275Y102,ENS,NA,31.98,1597.33,1053.92,0.206736244,L,1,7/31/2011,1,-29.73734,
361086101,FRM,NA,7.84,289.661783,104.019,0.222958638,L,1,7/31/2011,1,-22.19388,
36467W109,GME,NA,23.58,3335.22,3075.1,0.274853857,L,1,7/31/2011,1,1.484309,
368682100,GY,NA,5.66,332.242,-157.8,NULL,L,1,7/31/2011,1,-21.37809,
371901109,GNTX,NA,28.34,4045.274357,976.574,0.248724533,K,1,7/31/2011,1,-8.450953,
37244C101,GHDX,NA,26.85,785.791858,91.853,0.142417097,K,1,7/31/2011,1,-9.124767,
002896207,ANF,NA,73.12,6410.242043,1932.808,0.279392836,L,1,7/31/2011,1,-12.73977,
00507V109,ATVI,NA,11.84,13546.91,10320,0.155178943,K,1,7/31/2011,1,0.08445946,
005125109,ACXM,NA,13.74,1114.993512,672.448,0.334567543,K,1,7/31/2011,1,-20.16012,
00817Y108,AET,NA,41.49,15471.621,10203.199,0.316737248,L,1,7/31/2011,1,-3.51892,
008252108,AMG,NA,104.33,5430.71,2264.1,0.19931594,L,1,7/31/2011,1,-16.4574,
008272106,AFFM,NA,2.2,34.852088,95.447,-0.743562355,LIQ,1,7/31/2011,0.8496,-9.545455,
046220109,ASFI,NA,7.85,114.88,168.218,0.114613664,K,1,7/31/2011,1,6.240446,
04963C209,ATRC,NA,12.17,195.581599,16.035,-0.082146445,K,1,7/31/2011,1,-15.69433,
191042100,COBR,NA,3.9,25.504362,36.091,0.141674307,LIQ,1,7/31/2011,1,-11.28205,
19566B101,COBK,NA,12.1,50.5,70.452,0.080144644,LIQ,1,7/31/2011,1,0.4132231,
202217105,CNAF,NA,19.02,54.42,47.028,0.149623027,LIQ,1,7/31/2011,1,7.704422,
232517102,CYBE,NA,9.43,64.99,49.375,0.146665885,LIQ,1,7/31/2011,1,-7.847296,
232806109,CY,NA,20.58,3458.11,570.749,0.222068887,K,1,7/31/2011,1,-23.03207,
233331107,DTE,NA,49.84,8439.351828,9497,0.194113454,LU,1,7/31/2011,1,1.444623,
33646W100,FSBK,NA,4.35,42.42,79.649,-0.085049571,K,1,7/31/2011,1,-6.436781,
33740N105,FUBC,NA,5.93,181.21,205.269,0.00189917,K,1,7/31/2011,1,-9.780776,
33832D106,FVE,NA,4.95,235.41,169.498,0.18210679,L,1,7/31/2011,1,-34.34343,
339382103,FLXS,NA,15.64,104.95,124.552,0.141196052,LIQ,1,7/31/2011,1,-3.964194,
343389102,FTK,NA,9.43,436.281543,16.343,0.388923897,L,1,7/31/2011,1,-26.51114,
023436108,AMED,NA,25.86,762.19,956.509,0.180029381,K,1,7/31/2011,1,-34.37742,
024061103,AXL,NA,11.47,864.37,-419.6,NULL,L,1,7/31/2011,1,-18.483,
02553E106,AEO,NA,13.14,2560.614072,1366.464,0.325282537,L,1,7/31/2011,1,-15.75342,
063750103,BKMU,NA,3.71,170.622325,312.59,-0.439895892,K,1,7/31/2011,1,-14.01702,
068463108,BBSI,NA,14.92,152.2,107.876,0.091524898,K,1,7/31/2011,1,-3.490271,
06846N104,BBG,NA,49.76,2348.292082,1412.944,0.25286788,L,1,7/31/2011,1,-3.63746,
127387108,CDNS,NA,10.33,2779.84,297.706,0.278525637,K,1,7/31/2011,1,-10.55179,
128126109,CAMP,NA,3.77,106.820824,18.594,0.129773045,K,1,7/31/2011,1,-19.8939,
129603106,CCC,NA,14.89,840.82,363.784,0.221432288,L,1,7/31/2011,1,6.245802,
13201A107,ABCD,NA,3.16,138.763598,119.087,0.249334224,K,1,7/31/2011,0.9,-5.379747,
14141R101,CRDC,NA,3.04,80.97075,10.141,-0.318438276,K,1,7/31/2011,1,-25,
14161H108,CATM,NA,22.98,989.71,71.956,1.739314956,K,1,7/31/2011,1,7.745866,
14170T101,CFN,NA,26.39,5896.512036,5646,0.116119979,L,1,7/31/2011,1,-2.955665,
144285103,CRS,NA,57.44,2528.502309,658.33325,0.190506653,L,1,7/31/2011,1,-11.80325,
147322101,CSCD,NA,5.36,78.343314,67.118,0.068051219,LIQ,1,7/31/2011,1,-24.4403,
14964U108,CAVM,NA,34.49,1674.76,290.483,0.115246289,K,1,7/31/2011,1,-6.6686,
150870103,CE,NA,55.13,8619.241798,1258,0.613255645,L,1,7/31/2011,1,-14.72882,
230770109,CPIX,NA,6.15,126.000308,78.458,0.120185996,K,1,7/31/2011,1,1.300813,
286082102,EFII,NA,17.21,806.980669,561.733,0.073520908,K,1,7/31/2011,1,-17.43173,
29084Q100,EME,NA,27.92,1868.083031,1215.726,0.206834647,L,1,7/31/2011,1,-17.94413,
292218104,EIG,NA,14.86,573.02444,485.758,0.103173569,L,1,7/31/2011,1,-17.30567,
004397105,ARAY,NA,6.9,478.964411,179.27,-0.090262213,K,1,7/31/2011,1,-28.4058,
00650W300,ADK,NA,6.16,51.431054,14.337,-0.202991858,L,1,7/31/2011,1,-17.37013,
007865108,ARO,NA,16.85,1360.25,360.33,0.942624627,L,1,7/31/2011,1,-33.64985,
007903107,AMD,NA,7.34,5046.57,1558,0.347958562,L,1,7/31/2011,1,-6.948229,
007973100,AEIS,NA,10.61,462.14,401.977,0.242376795,K,1,7/31/2011,1,-5.749293,
008073108,AVAV,NA,28.83,635.93,263.468,0.194467593,K,1,7/31/2011,1,-0.5896636,
044209104,ASH,NA,61.24,4846.331447,4670,0.12086709,L,1,7/31/2011,1,-13.15392,
045487105,ASBC,NA,13.65,2365.67,2679.476,0.04796109,K,1,7/31/2011,1,-19.35086,
04621X108,AIZ,NA,35.62,3437.58,4747.391,0.155102076,L,1,7/31/2011,1,-0.7259116,
046265104,AF,NA,11.65,1147.444836,1264.398,0.121709994,L,1,7/31/2011,1,-11.20853,
049164205,AAWW,NA,52.39,1374.783907,1163.612,0.158539522,K,1,7/31/2011,1,-6.318,
04964C208,ATRN,NA,3.9101,27.29,4.929,NULL,K,1,7/31/2011,1,-29.15828,
049904105,ATRI,NA,199.1,401.371464,130.958,0.329610062,LIQ,1,7/31/2011,1,7.935711,
050473107,AUBN,NA,19.361,70.53,57.801,0.08695581,LIQ,1,7/31/2011,1,0.5629874,
184499101,CLNE,NA,16.01,1125.561356,414.811,0.032575267,K,1,7/31/2011,1,-17.86383,
18683K101,CLF,NA,89.82,13115.24,4338.7,0.337584808,L,1,7/31/2011,1,-7.410144,
192446102,CTSH,NA,69.87,21257.94,3768.059,0.284429643,K,1,7/31/2011,1,-9.188493,
194014106,CFX,NA,27.07,1179.455086,254.358,0.375727499,L,1,7/31/2011,1,-7.351311,
200340107,CMA,NA,32.03,6435.83,5877,0.101854919,L,1,7/31/2011,1,-20.10615,
23331A109,DHI,NA,11.88,3794.042776,2608.4,0.019062319,L,1,7/31/2011,1,-11.08608,
23332B106,DSPG,NA,7.59,177.71,164.442,-0.009381949,K,1,7/31/2011,1,-14.75626,
235825205,DAN,NA,16.67,2450.36,1077,0.521535581,L,1,7/31/2011,1,-23.5153,
268648102,EMC,NA,26.08,53661.37154,18237.299,0.224182621,L,1,7/31/2011,1,-13.3819,
268664109,EMCI,NA,18.67,241.921379,369.96,0.027251655,K,1,7/31/2011,1,-3.588645,
26942G100,EBMT,NA,10.55,43.08,52.95,0.066037916,LIQ,1,7/31/2011,1,1.623223,
33741H107,FUNC,NA,5,30.830185,67.151,-0.048822289,LIQ,1,7/31/2011,1,-12,
019330109,AMOT,NA,5.25,44.444542,33.223,0.260855505,K,1,7/31/2011,1,3.046632,
02043Q107,ALNY,NA,9.38,397.79,145.567,-0.327709061,K,1,7/31/2011,1,-25.58635,
02503Y103,ACAS,NA,9.67,3410.281535,4116,0.304558467,K,1,7/31/2011,1,-9.927611,
064058100,BK,NA,25.11,31179.69,33258,0.138518803,L,1,7/31/2011,1,-17.6822,
06424J103,BOCH,NA,4.1099,69.833345,86.775,0.090108386,K,1,7/31/2011,1,-13.13604,
12802T101,DVR,NA,5.58,532.35,481.011,0.133342697,L,1,7/31/2011,1,-47.84946,
13123X102,CPE,NA,6.97,272.62,92.42,0.489627119,L,1,7/31/2011,1,-17.50359,
131347304,CPN,NA,16.25,7466.88,4424,0.158466159,L,1,7/31/2011,1,-9.353847,
13811E101,CPHC,NA,11.4,46.45142,28.141,0.094657852,LIQ,1,7/31/2011,1,-18.50877,
14808P109,CASS,NA,37.54,353.39,147.348,0.227202788,K,1,7/31/2011,1,-3.19659,
149150104,CATY,NA,13.86,1089.873643,1195.395,0.115823111,K,1,7/31/2011,1,-7.431514,
228227104,CCI,NA,43.4,12604.69,2528.899,0.294288698,L,1,7/31/2011,1,0.06912442,
229669106,CUB,NA,48.54,1297.780342,517.209,0.236351615,L,1,7/31/2011,1,-13.42577,
35671D857,FCX,NA,52.96,50169.82,16857,0.670173859,L,1,7/31/2011,1,-11.04607,
35804H106,TFM,NA,35.53,1705.32,111.088,0.774058487,IPO,1,7/31/2011,1,8.668731,
359523107,FTEK,NA,6.36,154.06125,85.828,0.148191285,K,1,7/31/2011,1,-6.446541,
35952W103,FSYS,NA,21.24,424.25375,351.979,0.085754264,K,1,7/31/2011,1,-0.5178908,
359694106,FUL,NA,22.86,1128.26,729.727,0.187275565,L,1,7/31/2011,1,-3.018373,
361268105,GKSR,NA,34.07,637.48452,506.632,0.176943112,K,1,7/31/2011,1,-17.17053,
36237H101,GIII,NA,30.87,611.894768,312.593,0.342514669,K,1,7/31/2011,1,-8.45481,
36241U106,GSIT,NA,6.42,184.862051,124.68,0.19241978,K,1,7/31/2011,1,-21.65109,
