cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn
037833100,AAPL,NA,84.84,72900.803,10498,NULL,K,1,12/31/2006,1,1.049034
03836W103,WTR,NA,22.78,3009.06,1146.543,NULL,LU,1,12/31/2006,1,-2.502195
039209101,KAD,NA,2.06,206.861,58.383,NULL,L,1,12/31/2006,1,2.427185
042698308,HRT,NA,24.33,64.92,12.981,NULL,L,1,12/31/2006,1,22.52363
102565108,BWL.A,NA,15.85,81.42,39.824,NULL,ALB,1,12/31/2006,1,0.2804398
108763103,BRID,NA,6.27,62.4742,50.236,NULL,LIQ,1,12/31/2006,0.6,22.96651
109641100,EAT,NA,30.16,3704.9147,1097.254,NULL,L,1,12/31/2006,1,4.608753
114340102,BRKS,NA,14.4,1088.11,799.134,NULL,K,1,12/31/2006,1,-3.333333
12466Q104,CFFI,NA,39.75,125.3715,66.543,NULL,LIQ,1,12/31/2006,1,3.849057
12561W105,CNL,NA,25.23,1450.4474,1350.412,NULL,LU,1,12/31/2006,1,1.228696
126601103,CVV,NA,5.7,18.42,6.504,NULL,L,1,12/31/2006,1,1.576754
12709P103,CCMP,NA,33.94,813.1344,369.617,NULL,K,1,12/31/2006,1,-11.04891
21988R102,EXBD,NA,87.7,3423.64,309.608,NULL,K,1,12/31/2006,1,3.45496
22025Y407,CXW,NA,45.23,2746.7,1035.552,NULL,L,1,12/31/2006,1,7.716118
224633206,CRD.A,NA,5.99,334.4407,194.789,NULL,ALB,1,12/31/2006,1,-8.514191
291011104,EMR,NA,44.09,35376.4493,8878,NULL,L,1,12/31/2006,1,1.995917
291345106,EMIS,NA,5.29,149.3525,-5.557,NULL,K,1,12/31/2006,1,3.024575
29254Q104,ECI,NA,3.3,21.22,3.024,NULL,L,1,12/31/2006,1,-6.060606
293389102,EBF,NA,24.46,625.2709,312.988,NULL,L,1,12/31/2006,1,3.623991
401617105,GES,NA,63.43,2898.1167,387.762,NULL,L,1,12/31/2006,1,13.68438
404459109,HABC,NA,24,70.896,54.109,NULL,LIQ,1,12/31/2006,1,2.083333
052769106,ADSK,NA,40.46,9374.5817,846.3,NULL,K,1,12/31/2006,1,8.057341
053774105,CAR,NA,21.69,2187.86,12319,NULL,L,1,12/31/2006,1,17.38128
053807103,AVT,NA,25.53,3745.43,2909.063,NULL,L,1,12/31/2006,1,21.62162
055936108,BNCC,NA,12.94,46.61,54.954,NULL,LIQ,1,12/31/2006,1,6.646059
056525108,BMI,NA,27.7,390.5423,90.28331667,NULL,L,1,12/31/2006,1,4.512635
