cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn
00246W103,AXTI,NA,2.84,65.4733,53.012,NULL,K,1,7/31/2006,1,16.90141
003654100,ABMD,NA,13.66,362.8369,69.798,NULL,K,1,7/31/2006,1,9.224011
004225108,ACAD,NA,6.43,188.7,39.859,NULL,K,1,7/31/2006,1,34.68118
004446100,ACET,NA,6.94,168.4,112.364,NULL,K,1,7/31/2006,1,1.585014
00847J105,AGYS,NA,15.67,478.358,401.235,NULL,K,1,7/31/2006,1,-13.72048
052769106,ADSK,NA,34.11,7903.29,846.3,NULL,K,1,7/31/2006,1,1.905599
053807103,AVT,NA,18.2,2665.6813,2704.314,NULL,L,1,7/31/2006,1,7.472528
055936108,BNCC,NA,12,41.4,51.951,NULL,LIQ,1,7/31/2006,1,-0.8333333
056525108,BMI,NA,21.76,302.21,86.58055,NULL,L,1,7/31/2006,1,20.63731
210502100,CPSS,NA,6.35,138.8109,77.86,NULL,LIQ,1,7/31/2006,1,-6.614173
217204106,CPRT,NA,26.64,2407.6965,775.006,NULL,K,1,7/31/2006,1,5.367868
251893103,DV,NA,21.1,1492.62,564.913,NULL,L,1,7/31/2006,1,5.92417
33582V108,FNFG,NA,14.63,1625.92,1360.926,NULL,K,1,7/31/2006,1,3.087549
336901103,SRCE,NA,29.49090909,663.3655,347.35,NULL,K,1,7/31/2006,1,2.044304
337738108,FISV,NA,43.66,7606.97,2563.892,NULL,K,1,7/31/2006,1,1.145213
345370860,F,NA,6.67,12512.6,18931.5,NULL,L,1,7/31/2006,0.95,25.48726
345550305,FCE.B,NA,49.5,5082.8868,1370.636,NULL,ALB,1,7/31/2006,0.889875,8.061915
419131107,HAUP,NA,3.84,36.96,17.25,NULL,K,1,7/31/2006,1,12.53418
421906108,HCSG,NA,21.61,589.76,156.828,NULL,LIQ,1,7/31/2006,1,4.997686
