cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn
00404A109,ACHC,NA,42.64,2165.024808,511.549,0.215748861,1,1 ,5/31/2014,1,6.707317
004397105,ARAY,NA,8.82,677.061391,95.177,-0.299883375,1,1 ,5/31/2014,1,-0.2267552
00650W300,ADK,NA,4.11,71.95,8.677,-1.427764501,1,1 ,5/31/2014,1,4.136258
007865108,ARO,NA,3.91,307.48,280.692,-0.42178972,1,1 ,5/31/2014,1,-10.74169
007903107,AMD,NA,4,3048.17,511,0.446183953,1,1 ,5/31/2014,1,4.750001
007973100,AEIS,NA,19.57,804.51,465.962,0.171314338,1,1 ,5/31/2014,1,-1.635156
008073108,AVAV,NA,32.12,731.864928,324.658,0.027456585,1,1 ,5/31/2014,1,-0.9962664
063750103,BKMU,NA,6.06,282.100781,283.325,0.076089625,1,1 ,5/31/2014,1,-4.290426
06647F102,RATE,NA,15.15,1586.82,890.661,0.083117747,1,1 ,5/31/2014,1,15.77558
068463108,BBSI,NA,47.16,338.412945,83.34,0.362725804,1,1 ,5/31/2014,1,-0.3392706
06846N104,BBG,NA,25,1242.44,1146.006,0.044242531,1,1 ,5/31/2014,1,7.120003
073271108,BV,NA,6.58,505.96,225.341,-0.101243546,1,1 ,5/31/2014,1,19.90881
221006109,CRVL,NA,47.22,988.060226,137.222,0.603124449,1,1 ,5/31/2014,1,-4.320203
22160K105,COST,NA,116.02,51034.59312,11965,0.34224924,1,1 ,5/31/2014,1,-0.7412484
22410J106,CBRL,NA,100.55,2395.151275,554.279,0.519241466,1,1 ,5/31/2014,1,-0.9746398
26168L205,DW,NA,48.52,1146.33,313.613,0.343333982,1,1 ,5/31/2014,1,3.070895
26658A107,DRTX,NA,15.92,424.140242,19.47,-3.070159219,1,1 ,5/31/2014,1,6.972366
267475101,DY,NA,29.75,1009.962342,500.639,0.33899202,1,1 ,5/31/2014,1,5.243696
33741H107,FUNC,NA,8.71,54.094213,71.346,0.141424949,1,1 ,5/31/2014,1,0.6888686
337493100,FWV,NA,18.0001,31.12,30.79,0.090694479,1,1 ,5/31/2014,1,8.332581
337932107,FE,NA,33.82,14201.31176,19630,0.143708609,1U,1 ,5/31/2014,1,2.661151
34954W104,FRF,NA,7.15,143.25,180.119,0.257573624,1,1 ,5/31/2014,1,6.573425
35137T108,FXCB,NA,16.05,194.68,174.752,0.046896528,1,1 ,5/31/2014,1,5.046733
351793104,FRAN,NA,15.34,647.56,78.067,1.072617111,1,1 ,5/31/2014,1,-3.911344
43300A104,HLT,NA,22.62,22272,9416,0.120652174,IPO,1 ,5/31/2014,0.12,3.006186
43365Y104,HITT,NA,58.8,1844.671483,642.332,0.181062848,1,1 ,5/31/2014,1,32.91134
436106108,HFC,NA,49.25,9785.04,6689.419,0.201987201,1,1 ,5/31/2014,1,-10.69683
438516106,HON,NA,93.15,72947.65,18684,0.336546272,1,1 ,5/31/2014,0.95,-0.2147107
482738101,KVHI,NA,13.58,215.37,117.092,0.098963655,1,1 ,5/31/2014,1,-4.050076
043632108,ASCMA,NA,61.78,858.2,530.619,0.415311157,1,1 ,5/31/2014,1,6.846879
044209104,ASH,NA,103,8026.951092,4933,0.26083151,1,1 ,5/31/2014,1,5.572814
045487105,ASBC,NA,17.23,2747.393264,2839.866,0.117285464,1,1 ,5/31/2014,1,4.933256
04621X108,AIZ,NA,67.81,4858.080502,5347.922,0.160612587,1,1 ,5/31/2014,1,-3.332837
046265104,AF,NA,12.78,1270.534908,1422.272,0.090176844,1,1 ,5/31/2014,1,5.242565
049164205,AAWW,NA,36.59,923.234453,1673.94,0.182686645,1,1 ,5/31/2014,1,0.7105725
049904105,ATRI,NA,315.4,621.17,161.056,0.288942976,1,1 ,5/31/2014,1,3.571745
050473107,AUBN,NA,24.41,88.932538,64.485,0.185751063,1,1 ,5/31/2014,1,-0.7334111
050912203,AZC,NA,2.76,401.270977,211.137,-0.039528018,M,1 ,5/31/2014,1,15.21739
127387108,CDNS,NA,16.69,4831.96,1214.202,0.213129282,1,1 ,5/31/2014,1,4.793288
127686103,CZR,NA,18.23,2629.030827,-646,NULL,1,1 ,5/31/2014,1,-0.8228199
12769A103,PRSS,NA,5.15,88.78,87.503,0.060092763,1,1 ,5/31/2014,1,0.388351
128126109,CAMP,NA,19.1,686.353572,133.147,0.195896265,1,1 ,5/31/2014,1,13.40314
129603106,CCC,NA,21.45,1142.8,438.004,0.226682237,1,1 ,5/31/2014,1,4.102564
141337105,CARB,NA,11.16,297.89,12.821,0.184073005,1,1 ,5/31/2014,1,7.258067
14161H108,CATM,NA,28.98,1289.052425,265.724,0.704878451,1,1 ,5/31/2014,1,17.59835
14170T101,CFN,NA,42.93,8899.91,6129,0.124423204,1,1 ,5/31/2014,1,3.307707
144285103,CRS,NA,62.49,3317.71,1504.5,0.216866625,1,1 ,5/31/2014,1,1.216195
