cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn,
01748X102,ALGT,NA,47.17,936.804879,310.587,0.504193672,K,1,12/31/2009,1,8.543566,
063904106,OZRK,NA,29.27,494.233902,274.074,0.198042813,K,1,12/31/2009,1,1.690214,
218868107,COCO,NA,13.77,1206.184995,574.71,0.382557017,K,1,12/31/2009,1,1.670298,
21988R102,EXBD,NA,22.82,779.081806,43.028,2.875476434,K,1,12/31/2009,1,1.402279,
22025Y407,CXW,NA,24.55,2835.37,1475.3,0.229938318,L,1,12/31/2009,1,-23.78819,
224633206,CRD.A,NA,3.34,188.67,70.552,0.878373398,ALB,1,12/31/2009,1,-21.85629,
278642103,EBAY,NA,23.53,30423.39,12751.164,0.192478696,K,1,12/31/2009,0.9,-2.167446,
28257U104,BAGL,NA,9.83,160.87,58.298,0.464802036,K,1,12/31/2009,1,19.7355,
401617105,GES,NA,42.3,3907.510341,951.955,0.408755666,L,1,12/31/2009,1,-6.122931,
401692108,GUID,NA,5.24,123.04044,22.854,-0.441935766,K,1,12/31/2009,1,1.145038,
45253H101,IMGN,NA,7.86,448.494147,56.354,-0.533502502,K,1,12/31/2009,1,-11.0687,
45337C102,INCY,NA,9.11,1079.903445,-199.356,NULL,K,1,12/31/2009,1,17.23381,
45667G103,INFN,NA,8.87,856.842,374.575,-0.198406,K,1,12/31/2009,1,-22.77339,
457642205,INOD,NA,5.54,140.58,44.291,0.416968634,K,1,12/31/2009,1,-6.859206,
45773Y105,INWK,NA,5.9,269.103337,145.638,0.092050152,K,1,12/31/2009,1,-2.881356,
45774W108,IIIN,NA,13,227.82,147.07,0.002318624,K,1,12/31/2009,1,-24,
049513104,ATML,NA,4.61,2091.52,835.575,0.042120695,K,1,12/31/2009,1,0.6507592,
049560105,ATO,NA,29.4,2732.200183,2747.701,0.1875981,LU,1,12/31/2009,1,-6.054422,
179895107,CLC,NA,32.44,1632.933675,721.237,0.195996615,L,1,12/31/2009,1,0.109416,
190897108,COBZ,NA,4.75,174.3,234.079,-0.283938329,K,1,12/31/2009,1,12.64149,
199908104,FIX,NA,12.34,471.680581,303.093,0.257907639,L,1,12/31/2009,1,-4.943274,
200525103,CBSH,NA,38.72,3211.854085,1848.824,0.158429358,K,1,12/31/2009,1,2.221074,
25388B104,DRIV,NA,26.99,1042.992788,676.4,0.140717031,K,1,12/31/2009,1,-6.891441,
25614T101,DMC,NA,2.45,37.2,0.416,-6.677108434,L,1,12/31/2009,1,40,
257651109,DCI,NA,42.54,3280.94,743.839,0.264479276,L,1,12/31/2009,1,-10.10813,
257867101,RRD,NA,22.27,4572.031,2564.687083,0.452652259,K,1,12/31/2009,1,-9.926584,
318916103,FBMS,NA,7.02,21.2,43.18,0.091119671,LIQ,1,12/31/2009,1,32.47863,
31946M103,FCNCA,NA,164.01,1713.02,1514.684,0.082849624,ALB,1,12/31/2009,1,2.25596,
320209109,FFBC,NA,14.56,748.831312,593.228,-0.001590284,K,1,12/31/2009,1,12.63736,
457985208,IART,NA,36.87,1050.09,430.422,0.243579557,K,1,12/31/2009,1,4.149715,
458334109,IPAR,NA,12.17,366.07,239.284,0.215087511,K,1,12/31/2009,1,9.367296,
459044103,IBOC,NA,18.91,1290.38,1174.79,0.21526469,K,1,12/31/2009,1,10.20624,
460146103,IP,NA,26.78,11598.28,8159,0.431057728,L,1,12/31/2009,0.95,-14.45108,
46121Y102,IPI,NA,29.17,2188.69,701.521,0.19144402,L,1,12/31/2009,1,-16.04388,
46145F105,ITG,NA,19.7,861.19,888.989,0.218540022,BKR,1,12/31/2009,1,4.060914,
516012101,LCI,NA,5.91,146.851455,80.822,0.222312956,L,1,12/31/2009,1,-1.015228,
524660107,LEG,NA,20.4,3103.004057,1654.8,0.157783418,L,1,12/31/2009,1,-10.4902,
524901105,LM,NA,30.16,4899.93,5992.92,0.058276138,BKR,1,12/31/2009,1,-14.52255,
001031103,AEPI,NA,38.28,261.024659,81.707,0.729984985,K,1,12/31/2009,1,-8.803553,
001204106,AGL,NA,36.47,2822.731756,2376,0.228099873,LU,1,12/31/2009,1,-3.235536,
001547108,AKS,NA,21.35,2334.9641,818.6,0.0343269,L,1,12/31/2009,1,-4.730679,
002444107,AVX,NA,12.67,2157,1757.159,0.099326242,L,1,12/31/2009,0.9,-6.235201,
156700106,CTL,NA,36.21,10773.39,11516.80373,0.115114535,L,1,12/31/2009,1,-6.07567,
162825103,CKP,NA,15.25,594.751769,542.403,0.131284516,L,1,12/31/2009,1,5.180328,
16359R103,CHE,NA,47.97,1082.084426,479.365,0.314130151,L,1,12/31/2009,1,-3.064415,
163731102,CHFC,NA,23.58,563.320682,479.28,0.044354031,K,1,12/31/2009,1,-10.13571,
168565109,CBNK,NA,12.48,79.74,93.928,0.009826676,LIQ,1,12/31/2009,1,3.766026,
168905107,PLCE,NA,33,903.99,553.234,0.340778043,K,1,12/31/2009,1,-3.636364,
251893103,DV,NA,56.73,4029.53,1029.646,0.311939249,L,1,12/31/2009,1,7.632646,
25264R207,DHIL,NA,64.23,168.13,45.105,0.294778849,BKR,1,12/31/2009,1,-8.547408,
33582V108,FNFG,NA,13.91,2617.88,2206.885,0.065438303,K,1,12/31/2009,1,-1.294033,
336901103,SRCE,NA,16.09,388.44,574.33,0.130618797,K,1,12/31/2009,1,-5.220634,
337738108,FISV,NA,48.48,7460.98,3482,0.290637565,K,1,12/31/2009,1,-7.09571,
