Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,3.970000029,61570972,1.14477647,,Financials,,,,0,-0.097448518,0,,,,,-0.0457,0,-0.027,-0.022167467,-0.083140855,,,-0.002997481,0.013879093,-0.001032746,0.001838791,
,MANT,,30.22999954,1126803584,1.016633245,,Information Technology,,,,0.010619517,-0.029081377,0,,,,,-0.0095,0.010619517,0.1295,0.038581541,0.039121832,,,0.011726762,0.03722792,0.010248098,0.002725769,
,SVBI,,4.539000034,45695832,1.6574597,,Financials,,,,-0.034255273,-0.130186928,0.076593419,,,,,0.0016,-0.034255273,-0.0002,-0.021767206,-0.04240501,,,-0.025688477,-0.001608284,-0.002775942,0.000308438,
,FVE,,4.150000095,201943328,1.484317422,,Health Care,,,,-0.056818181,-0.062205571,0,,,,,0.0298,-0.056818181,0.1008,-0.171656705,-0.244080097,,,0.019156626,0.04019277,-0.021445783,-0.040722891,
,UNIS,,3.349999905,371839968,-0.007199334,,Health Care,,,,0.07028747,-0.185340485,0,,,,,0.0502,0.07028747,0.4597,0.13175671,-0.238636402,,,-0.298507471,0.421791057,0.321194039,-0.456417923,
,FSP,,12.27000046,1229299456,0.812144689,,REIT,,,,0.020798668,0.01074189,0,,,,,-0.0113,0.020798668,0.1113,0.006293142,0.092902436,,,0.018011409,0.025623471,-0.002811736,-0.001198044,
,MDAS,,19.76000023,1189701504,0.408200704,,Health Care,,,,0.021716653,0.025018881,0,,,,,-0.01,0.021716653,-0.0463,-0.134851134,-0.00352999,,,-0.04951923,-0.042586032,-0.041766194,-0.023744939,
,PLMT,,16.70000076,213652160,0.529954857,,Financials,,,,0.063694329,0.04078124,0,,,,,-0.1103,0.063694329,0.1848,0.168612913,0.297557112,,,0.062215566,0.062526943,0.041341315,0.020820358,
,FSNN,,3.150000095,20453256,0.607376253,,Telecommunication Services,,,,-0.105113604,-0.250142569,1.31519E-05,,,,,-0.0653,-0.105113604,-0.137,-0.405660381,-0.495495487,,,-0.033365078,-0.071047617,-0.10485714,-0.081301585,
,EAC,,8.340000153,115200120,1.596873337,,Industrials,,,,-0.21022729,-0.083124913,0,,,,,0.0258,-0.21022729,-0.358,-0.486769221,-0.598845609,,,-0.450179848,-0.267050355,-0.171211028,-0.158657071,
,CUTR,,10.68000031,153748736,0.523867721,,Health Care,,,,0.053254432,-0.060260658,0,,,,,0.0701,0.053254432,0.0574,0.027911449,0.049115912,,,-0.0414794,-0.005168539,0.004485019,-0.006179775,
,H,,60.20999908,9140177920,0.512353244,,Consumer Discretionary,,,,0.021720665,0.02122497,0,,,,,-0.0051,0.021720665,-0.0051,-0.012627098,0.217347355,,,0.013220395,0.001508055,-0.00531141,0.012004651,
,9876547D,,13.75,926409600,0.531023202,,,,,,-0.028268525,0.011361065,0,,,,,-0.0115,-0.028268525,0.0315,-0.091809796,0.182287177,,,-0.0388,0.01664,-0.019389091,0.005287273,
,CORT,,3,303570496,-0.004338366,,Health Care,,,,-0.009900981,-0.127192861,0,,,,,0.0204,-0.009900981,0.1194,0.07142859,-0.065420572,,,0.019,0.0452,0.049566667,-0.017966667,
,MWV,,44.38999939,7400558080,0.474558805,,Materials,,,,-0.009151782,0.057428101,0,,,,,-0.0168,-0.009151782,0.0904,0.014431701,0.268351237,,,0.004899752,0.04099572,0.007463393,0.019682361,
,CKEC,,26.27000046,641482880,0.447966761,,Consumer Discretionary,,,,-0.113697672,-0.004575336,0,,,,,0.0069,-0.113697672,-0.152,-0.252206101,-0.056393667,,,-0.09073087,-0.06192615,-0.047061286,-0.015565283,
,VRNT,,58.27999878,3538432512,0.285670846,,Information Technology,,,,-0.031732844,0.015279647,0,,,,,-0.0157,-0.031732844,0.048,0.188175325,0.357242679,,,-0.00624571,0.033792039,0.041427592,0.022791696,
,VSI,,48.58000183,1499955968,0.390522141,,Consumer Discretionary,,,,0.015043903,0.040568524,0,,,,,0.0284,0.015043903,0.0944,0.129242244,-0.065948791,,,-0.003262659,0.025339645,0.020763688,0.004810621,
,BCBP,,11.72987461,98377960,1.044065154,,Financials,,,,-0.043240262,0.076195928,0,,,,,0.0008,-0.043240262,-0.1083,-0.113497,-0.091177964,,,-0.033453043,-0.035456475,-0.02217415,-0.011236267,
,EPAX,,2.5,42609064,1.112181202,,Consumer Discretionary,,,,0.096491242,-0.359547912,0,,,,,0.0163,0.096491242,-0.3243,-0.457700667,-0.462365602,,,-0.13748,-0.23168,-0.16948,-0.06896,
,MACK,,11.30000019,1196490752,-0.083338714,,Health Care,,,,0.233624496,-0.088951795,0,,,,,0.0357,0.233624496,0.287,0.550068621,1.119677454,,,0.134026546,0.083814158,0.080646016,0.048318583,
,CVGW,,47.29999924,818025152,0.191753282,,Consumer Staples,,,,0.101537046,0.038635731,0,,,,,-0.0098,0.101537046,0.0644,0.420266796,0.587826435,,,0.002389006,0.015712474,0.052078225,0.033008457,
,SBRA,,30.37000084,1656014848,0.400741595,,REIT,,,,0.072765857,0.016563861,3.50238E-05,,,,,0.004,0.072765857,0.2662,0.087294163,0.226130597,,,0.035093842,0.058047414,0.006163977,0.004794205,
,SYRX,,2.039999962,40086692,0.803209205,,Information Technology,,,,0.645327174,-0.186215964,0,,,,,0.7895,0.645327174,-0.5012,-0.47422683,-0.575000025,,,-0.256323534,-0.506764715,-0.279117652,-0.350686281,
,RGC,,21.36000061,3335871232,-0.225638216,,Consumer Discretionary,,,,-0.022601868,0.024851079,0,,,,,0.0075,-0.022601868,0.1352,0.080859589,0.199951767,,,-0.070505616,0.032312733,0.009138577,0.010524344,
,CQB,,14.46000004,681244032,0.554989094,,,,,,0,-0.081795946,0,,,,,0.0021,0,0.0183,0.332718851,0.235897459,,,0.001141079,0.017441217,0.06670816,0.023852005,
,AMRC,,7,324448544,0.866689049,,Industrials,,,,-0.092088202,0.010180021,0,,,,,-0.0424,-0.092088202,0.0219,-0.004267455,-0.275362307,,,-0.1055,0.013142857,0.008571429,-0.033385714,
,POM,,26.93000031,6783858176,0.626634544,,Utilities,,,,-0.010992223,0.039063317,0.01636237,,,,,0.0015,-0.010992223,0.0164,-0.000451513,0.469678829,,,-0.015930189,0.002658745,-0.001611586,0.027582621,
,CPSI,,60.75,680939456,0.116827185,,Health Care,,,,0.034218561,0.05319297,0,,,,,-0.0059,0.034218561,0.0664,-0.027184487,0.018727098,,,-0.011420576,0.005371193,-0.015071605,-0.015553909,
,CME,,88.65000153,29860993024,0.965711338,,Financials,,,,0.076160834,0.033940599,0,,,,,-0.0213,0.076160834,0.1392,0.29175525,0.183175275,,,0.054864071,0.043600676,0.039112238,0.017279188,
,NXST,,51.79000092,1599787904,0.011375883,,Consumer Discretionary,,,,0.009354892,0.013282386,0,,,,,-0.0133,0.009354892,0.2858,0.010439165,-0.05735833,,,0.098802856,0.09728905,0.014869666,0.022728326,
,CYNO,,27.42000008,593588352,0.56580458,,Health Care,,,,-0.005440683,0.026427405,0,,,,,-0.0207,-0.005440683,0.3057,0.290352945,0.029279306,,,0.074919766,0.118369803,0.058005106,-0.007363238,
,CEVA,,18.13999939,366277984,0.49209075,,Information Technology,,,,0.05403837,0.011584098,0,,,,,-0.0125,0.05403837,0.3497,0.22816512,0.191852764,,,0.08277288,0.09803749,0.037541346,-0.001890849,
,CYTK,,8.010000229,293236320,0.251094407,,Health Care,,,,0.715203447,-0.056466402,0,,,,,0.3646,0.715203447,1.2756,0.675732192,0.232307728,,,0.130024965,0.092746564,0.025418226,-0.066317102,
,BDSI,,12.02000046,616456960,0.087822581,,Health Care,,,,-0.2169381,-0.080040548,3.46983E-06,,,,,-0.0498,-0.2169381,-0.2967,-0.004142439,1.040747153,,,-0.179051574,-0.107778698,0.011139767,0.040324458,
,APPY,,1.769999981,54852352,0.472967613,,Health Care,,,,0.072727277,-0.204226904,0,,,,,0.0412,0.072727277,0.0663,-0.206278042,-0.172897246,,,1.315254251,0.512429384,-0.262598873,-0.480338988,
,COSI,,1.590000033,39776852,-0.073283828,,Consumer Discretionary,,,,-0.036363602,-0.407297189,0,,,,,-0.0124,-0.036363602,-0.243,0.494052537,0.013821383,,,-0.004213836,-0.073018866,0.070503143,0.031257861,
,FORM,,8.600000381,485141824,0.594422072,,Information Technology,,,,0.069651794,-0.074417414,0,,,,,0.0082,0.069651794,0.1994,0.03365393,0.430948428,,,-0.006337209,0.068034881,0.026779069,0.018093022,
,LF,,4.71999979,331164384,1.222719023,,Consumer Discretionary,,,,-0.13553118,0.102951892,0,,,,,0,-0.13553118,-0.212,-0.35782315,-0.405541592,,,-0.077648309,-0.111864412,-0.109957632,-0.05495763,
,SAFT,,64.01000214,960736192,0.736279097,,Financials,,,,0.075436856,0.0631141,0,,,,,0.0136,0.075436856,0.2011,0.276287549,0.190935403,,,0.01758319,0.039331353,0.036061552,0.010898297,
,RRGB,,76.97499847,1078973440,0.3301666,,Consumer Discretionary,,,,0.142910174,0.032976715,0,,,,,0.0061,0.142910174,0.3528,0.081109575,0.04670924,,,0.096524848,0.115093214,0.022131861,-0.001314713,
,STX,,66.5,21761386496,0.11644478,,Information Technology,,,,0.00589925,0.070032302,0,,,,,-0.0337,0.00589925,0.1712,0.189384318,0.224366966,,,0.040282707,0.073293233,0.02538797,0.02603609,
,INBK,,16.73999977,74318488,1.275241229,,Financials,,,,-0.058823562,0.047430997,0,,,,,-0.0006,-0.058823562,0.0422,-0.18134538,-0.246381766,,,-0.083464756,0.024480287,-0.020997611,-0.040955795,
,NPO,,62.75999832,1505429248,0.444856488,,Industrials,,,,-0.027278339,0.015543739,0,,,,,0.0106,-0.027278339,0.0368,-0.142154249,0.088638277,,,-0.049187382,0.009617591,-0.025753665,-0.016841938,
,SJM,,100.9800034,10281486336,0.502359292,,Consumer Staples,,,,-0.015501573,0.054418202,0,,,,,-0.0239,-0.015501573,0.0266,-0.040468164,-0.001201461,,,-0.010655575,0.013701723,-0.004210735,0.004502872,
,EEQ,,38.79000092,2649558784,0.273102074,,Energy,,,,0.065659321,-0.001132264,0,,,,,0.0319,0.065659321,0.0586,0.135475332,0.449309698,,,0.033663314,0.021005413,0.020384119,0.028739365,
,SPOK,,17.36000061,376414176,0.7392973,,Telecommunication Services,,,,0.094577616,0.058042447,0,,,,,-0.0023,0.094577616,0.3444,0.145258667,0.25611872,,,0.028974653,0.078525343,0.021013824,0.011964285,
,MGNX,,35.06999969,974769408,0.142688105,,Health Care,,,,0.240976625,-0.023082708,0,,,,,0.0627,0.240976625,0.678,0.613897857,0.278527135,,,0.234445397,0.148018251,0.072469348,-0.010781295,
,WHG,,61.81999969,512488928,0.195744717,,Financials,,,,0.04616372,0.05377482,0,,,,,0.0213,0.04616372,0.0997,0.046076643,0.030001634,,,-0.058654158,0.018689745,0.016484956,0.003138143,
,RNG,,14.92000008,1016260416,0.098336015,,Telecommunication Services,,,,0.186009552,-0.050759627,0,,,,,0.0198,0.186009552,0.1739,-0.013879712,-0.187806239,,,0.102647453,0.052908847,-0.007486595,-0.059845844,
,WYNN,,148.7599945,15076796416,0.00628217,,Consumer Discretionary,,,,-0.167123935,0.073287255,0,,,,,-0.0142,-0.167123935,-0.1936,-0.268652542,-0.209254382,,,-0.199887074,-0.081795513,-0.077607559,-0.061116566,
,HNNA,,21.93987465,132179432,0.337200723,,Financials,,,,0.121670514,0.058004486,0,,,,,0.0334,0.121670514,0.1066,0.481853075,0.889152335,,,0.089025121,0.019439491,0.0480495,0.042251837,
,NCT,,4.489999771,298135360,2.773367829,,REIT,,,,-0.061368976,0.246009061,0.206560537,,,,,-0.0152,-0.061368976,0.0133,-0.084397002,-0.050965507,,,0.032494434,0.028396438,-0.010267261,-0.008797328,
,RUSHA,,32.04999924,1239861504,0.595855248,,Industrials,,,,-0.086374072,0.056610355,0,,,,,-0.0178,-0.086374072,-0.0419,-0.07556963,0.080944339,,,-0.093828395,0.000202808,-0.009600624,0.014914197,
,DKS,,49.65000153,5940288512,0.283745306,,Consumer Discretionary,,,,-0.016469504,0.055098334,0,,,,,0.0036,-0.016469504,0.1344,0.07200981,-0.136485276,,,0.03573011,0.047979858,0.025323262,-0.01074723,
,TZOO,,12.61999989,185898336,0.259028677,,Information Technology,,,,-0.038842363,0.098591523,0,,,,,-0.027,-0.038842363,-0.1858,-0.347803636,-0.408067539,,,0.026386688,-0.076465928,-0.082551506,-0.090736926,
,BANC,,11.47000027,387966720,0.727848533,,Financials,,,,0.054323894,0.050890963,0.21200272,,,,,-0.0086,0.054323894,-0.0028,0.074636594,-0.109067622,,,-0.021534437,-0.017122929,-0.004524847,-0.017122929,
,HALO,,9.649999619,1209985408,0.033008663,,Health Care,,,,0.099088828,-0.070320934,0,,,,,0.0332,0.099088828,0.0604,-0.023279402,-0.356237507,,,-0.013108809,-0.01703627,-0.012487047,-0.067098448,
,PFS,,18.05999947,1179212672,0.957454134,,Financials,,,,0.045138816,0.059203909,0,,,,,-0.0071,0.045138816,0.1124,0.0607011,-0.032016728,,,-0.001439646,0.028859359,0.011816169,-0.002120709,
,ICLD,,2.920000076,49775544,0.61361459,,Information Technology,,,,-0.195592291,-0.739264447,0,,,,,-0.0267,-0.195592291,-0.3568,-0.556904399,-0.840958607,,,-0.122260271,-0.165410955,-0.183767119,-0.386883552,
,GALT,,3.470000029,76768832,0.151285355,,Health Care,,,,-0.125944584,-0.206763599,0.119351822,,,,,0.0878,-0.125944584,-0.3101,-0.748732808,-0.570544547,,,-0.344380401,-0.17423631,-0.424149852,-0.399510083,
,SAIA,,55.36000061,1370551168,0.254717238,,Industrials,,,,-0.001983065,0.033917741,0,,,,,0.0058,-0.001983065,0.117,0.260186666,0.727301152,,,0.035115607,0.046401734,0.037601156,0.036430635,
,PRAA,,57.93000031,2901105664,0.411023281,,Financials,,,,-0.010082026,0.060422136,0,,,,,-0.0156,-0.010082026,0.1091,-0.02687718,0.096328542,,,-0.048682893,0.013255653,-0.004873123,0.005204557,
,KMX,,66.58000183,14340996096,0.221891974,,Consumer Discretionary,,,,0.16848021,0.038590694,0,,,,,-0.0152,0.16848021,0.4334,0.280138511,0.41599322,,,0.098941121,0.098302791,0.036568037,0.022963352,
