Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,4.119999886,63897332,1.103097701,,Financials,,,,0.009803912,-0.093900634,0,,,,,0.0701,0.009803912,-0.012,-0.041860534,0.095744653,,,-0.021626214,-0.023252428,-0.014174758,-0.005946602,
,MANT,,28.15999985,1049645696,1.091364437,,Information Technology,,,,0.044897924,-0.031219106,0,,,,,0.0214,0.044897924,0.0505,-0.042257112,0.037526589,,,-0.045028409,-0.016619318,-0.018934659,-0.008700284,
,SVBI,,4.699999809,47316680,1.600682888,,Financials,,,,0.035270746,-0.125727333,0.073969687,,,,,0.0108,0.035270746,0.0195,-0.002123191,-0.032921877,,,0.029829788,0.001744681,-0.004085107,0.002170213,
,FVE,,4.130000114,200773520,1.545910955,,Health Care,,,,0.095490752,0.011849172,0,,,,,0.0198,0.095490752,-0.0963,-0.144927499,-0.185404344,,,-0.003753027,-0.068184017,-0.057263921,-0.042905568,
,MCPIQ,,1.379999995,337787552,3.523919082,,Materials,,,,0.159663806,-1.305702372,0,,,,,0.0952,0.159663806,-0.3397,-0.709473685,-0.727810661,,,-0.031884058,-0.241159421,-0.239710146,-0.322246378,
,UNIS,,3.670000076,401416672,0.015273406,,Health Care,,,,0.59912852,-0.14423666,0,,,,,0.0592,0.59912852,0.4563,0.129230793,0.211221159,,,2.679836457,1.056948207,0.229427788,-0.351089911,
,FSP,,11.98999977,1201246976,0.831110541,,REIT,,,,0.085922056,0.010992744,0,,,,,0.0187,0.085922056,0.0036,0.015622815,-0.033170344,,,0.006296914,-0.021367807,-0.0158799,-0.003402836,
,MDAS,,21.65999985,1301757696,0.373062509,,Health Care,,,,0.045366823,0.022865238,0,,,,,-0.0317,0.045366823,0.0198,-0.051248361,-0.059446764,,,0.001860572,-0.01842567,-0.019976916,0.007807018,
,PLMT,,16.62000084,212596752,0.523897938,,Financials,,,,0.179110939,0.136239146,0,,,,,0.113,0.179110939,0.2631,0.23877,0.247077712,,,0.047262332,0.035258723,0.013766546,0.012539109,
,FSNN,,3.699875116,23734468,0.503799032,,Telecommunication Services,,,,0.013664389,-0.307010715,1.17551E-05,,,,,0.0481,0.013664389,-0.2674,-0.237139174,-0.471446414,,,-0.220331761,-0.151869991,-0.086381294,-0.053785599,
,EAC,,14.03999996,193783056,0.87095846,,Industrials,,,,0.080831425,-0.062074571,0,,,,,0.0065,0.080831425,-0.0403,-0.111954485,-0.283673485,,,-0.003952991,-0.01039886,-0.030448718,-0.057856126,
,CUTR,,10.5,150288480,0.54270294,,Health Care,,,,0.039603921,-0.055207159,0,,,,,0.0469,0.039603921,0.066,0.018428669,0.0447761,,,0.005619048,0.019333333,0.0076,0.002838095,
,H,,59.22000122,8989890560,0.520918445,,Consumer Discretionary,,,,-0.02148049,0.021579796,0,,,,,-0.029,-0.02148049,0.0066,0.05223885,0.244117713,,,-0.05090341,-0.010239784,-0.003280986,0.017955082,
,9876547D,,14.23999977,959067584,0.494238362,,,,,,0.068267056,0.010974201,0,,,,,0.078,0.068267056,-0.0551,-0.023319627,0.356190454,,,-0.062324439,-0.06264045,-0.010196629,0.017036517,
,XPL,,1.00999999,39640164,0.219852774,,Materials,,,,-0.158333375,-0.041498315,0,,,,,-0.0561,-0.158333375,-0.3526,-0.047169769,0.134831468,,,-0.266336636,-0.183069309,-0.010693069,0.028316832,
,CORT,,3.25,328651072,0.010503541,,Health Care,,,,0.212686537,-0.132395734,0,,,,,0.0726,0.212686537,0.3598,-0.264705895,0.923076858,,,0.077907692,0.054215385,0.062461538,-0.005446154,
,MWV,,44.16999817,7441849856,0.471925673,,Materials,,,,0.078895937,0.057109456,0,,,,,0.0303,0.078895937,0.0567,0.144413394,0.339670471,,,-0.024428346,-0.017858276,-0.001827032,0.012338692,
,CKEC,,32.04999924,738298048,0.333194694,,Consumer Discretionary,,,,0.034538403,0.005069768,0,,,,,0.0332,0.034538403,0.0194,0.080579885,0.400174753,,,-0.069687989,-0.039650547,-0.025613105,0.01123557,
,VRNT,,57.49000168,3482138880,0.293050929,,Information Technology,,,,0.033806888,0.019139673,0,,,,,0.0547,0.033806888,0.2248,0.31345673,0.574205941,,,0.004505131,0.049702556,0.033774569,0.021774221,
,VSI,,46.93000031,1449720960,0.397086071,,Consumer Discretionary,,,,0.057220116,0.044782411,0,,,,,0.0215,0.057220116,0.1004,-0.019841285,0.000426358,,,0.011346686,0.035486895,0.004536544,-0.016469209,
,BCBP,,12.55000019,105084744,0.87303824,,Financials,,,,-0.046005343,0.071332904,0,,,,,0.029,-0.046005343,-0.0174,-0.025614899,0.196527559,,,-0.031745019,-0.015123506,-0.013450199,-0.004549801,
,EPAX,,3.549999952,60491968,0.754959733,,Consumer Discretionary,,,,-0.040540566,-0.311545493,0,,,,,0.0441,-0.040540566,-0.1744,-0.162735815,-0.037940407,,,-0.088478874,-0.086535212,-0.027211268,-0.041352113,
,MACK,,9.170000076,959068160,-0.080403045,,Health Care,,,,0.044419175,-0.123197709,0,,,,,-0.0208,0.044419175,0.5516,1.08883835,2.421641734,,,0.136750271,0.116717556,0.03221374,0.039422028,
,CVGW,,48.54000092,839470208,0.186854764,,Consumer Staples,,,,0.075321258,0.037648745,0,,,,,0.0633,0.075321258,0.4074,0.561273743,0.672788796,,,0.070220435,0.087503089,0.065179232,0.035339925,
