Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,5.53000021,85765104,0.910393579,,Financials,,,,0.043396228,0.080650517,0,,,,,-0.0212,0.043396228,0.2427,0.33253014,0.355392234,,,-0.036166364,0.080976489,0.053634718,0.028426762,
,MANT,,25.70000076,965111296,1.210666621,,Information Technology,,,,-0.054194913,0.05611788,0,,,,,-0.0062,-0.054194913,-0.1067,-0.231204016,-0.018876675,,,-0.077821009,-0.054871594,-0.041645913,-0.014385214,
,SVBI,,4.659999847,47014176,1.662158239,,Financials,,,,-0.03917527,0.058322834,0.074445631,,,,,-0.0392,-0.03917527,-0.0312,-0.058585853,0.026459939,,,-0.015171674,-0.003690987,0.002124464,0.004098713,
,FVE,,3.089999914,151552496,1.439600229,,Health Care,,,,-0.085798873,-0.532376583,0,,,,,0,-0.085798873,-0.3563,-0.304054082,-0.180371371,,,-0.167637545,-0.231456317,-0.088705504,-0.043883496,
,FSP,,10.75,1077014656,0.887217253,,REIT,,,,0.032660918,0.019830742,0,,,,,0.0094,0.032660918,-0.0342,-0.134961678,0.019070631,,,-0.063023256,-0.041990698,-0.033162791,-0.014427907,
,MDAS,,20.05999947,1203643776,0.378291326,,Health Care,,,,-0.050189457,-0.020767772,0,,,,,-0.0267,-0.050189457,-0.0907,0.065887343,-0.031853276,,,-0.015877368,-0.029401795,0.005174477,0.007552343,
,FSNN,,1.879999995,15475346,0.566548237,,Telecommunication Services,,,,-0.113207502,-0.528849113,1.56378E-05,,,,,-0.109,-0.113207502,-0.1174,-0.545179642,-0.484931522,,,-0.191329788,-0.000851064,-0.216436171,-0.069042553,
,EAC,,3.130000114,43297832,2.153941565,,Industrials,,,,-0.07669616,-1.636710124,0,,,,,-0.0544,-0.07669616,-0.2788,-0.275462965,-0.759045407,,,-0.029936101,-0.08904153,-0.050479231,-0.227316286,
,CUTR,,13.07999992,184914112,0.365526456,,Health Care,,,,-0.105946697,-0.05296513,0,,,,,-0.1132,-0.105946697,-0.155,0.012383889,0.295049449,,,-0.002561162,-0.022477064,0.011880734,0.035948012,
,H,,47.09999847,6739489792,0.641591556,,Consumer Discretionary,,,,-0.080616848,0.041101034,0,,,,,-0.0333,-0.080616848,-0.1692,-0.20466063,-0.221744909,,,-0.050562634,-0.072997879,-0.038552018,-0.019571126,
