Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,MANT,,24.80999947,919024448,1.267896664,,Information Technology,,,,0.005674884,0.103391156,0,,,,,-0.0147,0.005674884,0.0016,0.127502241,-0.235446711,,,-0.038170094,0.005570335,0.011886336,-0.016904474,
,SVBI,,5.050000191,50836836,2.124699499,,Financials,,,,0.147727291,0.040875872,7.86831E-05,,,,,0.1636,0.147727291,0.5303,0.603174615,0.430594967,,,0.174891082,0.083623759,0.047029701,0.011722772,
,FVE,,6.340000153,305803552,1.003274782,,Health Care,,,,0.1201414,0.04112117,0,,,,,0.0128,0.1201414,0.2886,0.340380577,0.790960514,,,0.063170345,0.067413248,0.028059936,0.039810725,
,MCPIQ,,6.139999866,1157891200,1.538498636,,Materials,,,,-0.168021711,-0.062620737,1.72728E-06,,,,,-0.0725,-0.168021711,-0.3155,-0.466550848,-0.751417017,,,-0.284609127,-0.117296419,-0.158957658,-0.326514665,
,UNIS,,2.50999999,225498912,0.178470928,,Health Care,,,,0.130630612,-0.252258423,0,,,,,0.0287,0.130630612,0.1057,-0.160535123,-0.323450144,,,-0.055776893,0.083266933,-0.594023907,-0.647211158,
,MKTG,,8.069999695,393703008,0.393169462,,,,,,0.057667048,0.019258171,0,,,,,0.0373,0.057667048,0.2377,-0.158498481,-0.331400174,,,0.022738539,0.054374228,-0.062627016,-0.059231725,
,FSP,,13.75,1140389248,0.758292832,,REIT,,,,0.057692308,0.019955467,0,,,,,0.0185,0.057692308,0.2078,0.275910195,0.428147855,,,0.0212,0.0472,0.02264,0.021745455,
,MDAS,,18.46999931,1098242816,0.505984651,,Health Care,,,,-0.055242965,-0.006262732,0,,,,,-0.039,-0.055242965,0.1472,0.082015211,0.293417343,,,0.011180293,0.058115866,0.017033027,0.033134814,
,EAC,,13.31999969,129028176,0.818588647,,Industrials,,,,0.13554989,0.192647845,0,,,,,0.1503,0.13554989,0.748,1.37862448,0,,,0.175788292,0.130705709,0.079737239,0.033243244,
,CUTR,,12.89999962,182242176,0.497321762,,Health Care,,,,0.172727238,-0.035930212,0,,,,,0.007,0.172727238,0.3651,0.7867036,0.379679047,,,0.161263571,0.080612405,0.070426359,0.02355814,
,H,,41.09000015,6790221312,0.694822742,,Consumer Discretionary,,,,0.025455465,0.012812543,0,,,,,0.0163,0.025455465,0.1258,0.083311358,-0.007727595,,,0.036018496,0.04421027,0.004334388,-0.00104405,
