Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,MANT,,28.77000046,1069353792,1.126932015,,Information Technology,,,,-0.00895626,0.074487976,0,,,,,0.0017,-0.00895626,0.0188,0.069732963,0.165234699,,,-0.008759124,0.000364963,0.015811609,0.009812304,
,FVE,,4.929999828,237978608,1.301852274,,Health Care,,,,-0.068052956,0.049895241,0,,,,,0.0082,-0.068052956,-0.0501,-0.04085604,0.012320317,,,-0.068357,-0.02616633,-0.022434078,-0.01902637,
,MCPIQ,,4.78000021,1116474752,1.158036097,,Materials,,,,-0.071844637,-0.49438378,1.79135E-06,,,,,0.0236,-0.071844637,-0.2164,-0.280120436,-0.457434735,,,-0.244246851,-0.142384931,-0.042656902,-0.061631796,
,UNIS,,4.449999809,447187360,0.089790105,,Health Care,,,,0.36503062,-0.138521357,0,,,,,0.1042,0.36503062,0.2899,0.286127098,0.918103421,,,-0.226966302,0.051011238,0.060449441,0.221011245,
,MKTG,,16.90999985,869115520,0.189011707,,,,,,0.012574795,0.000905518,0,,,,,0.0484,0.012574795,0.1784,0.727272718,1.642187437,,,-0.020549971,0.032312242,0.032702543,0.052874039,
,FSP,,12.85999966,1288410112,0.822058894,,REIT,,,,-0.053716004,0.01486328,0,,,,,-0.01,-0.053716004,0.0707,-0.040625438,0.177106392,,,-0.00462675,0.022317263,-0.003437014,-0.000723173,
,MDAS,,21.54000092,1332654848,0.359294088,,Health Care,,,,-0.180053272,0.004004038,0,,,,,0.069,-0.180053272,-0.0393,0.277580079,0.337057734,,,-0.172850503,-0.036866294,0.036002784,0.009786443,
,PLMT,,13.43000031,171697248,0.569292759,,Financials,,,,-0.005185163,0.166677104,0,,,,,0.0379,-0.005185163,0.122,-0.033812901,0.497212921,,,-0.002047654,0.012390171,-0.003090097,0.035316455,
,EAC,,18.90999985,260729456,0.744940763,,Industrials,,,,-0.028762172,0.041567992,0,,,,,-0.0021,-0.028762172,0.2343,-0.227532672,1.484888241,,,-0.004970915,0.074944474,-0.011893178,0.039481756,
,CUTR,,9.449999809,133449816,0.638307362,,Health Care,,,,-0.10511369,-0.025417795,0,,,,,-0.0197,-0.10511369,0.0107,0.007462654,0.026058607,,,-0.053597885,-0.017756614,0.002825397,-0.018507937,
