Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,AQQSQ,,4,14259200,-0.827044996,,REIT,,,,0.094091934,-0.817998205,7.01302E-05,,,,,0,0.094091934,0,-0.012345726,-0.555555556,,,-0.04235,-0.0343,-0.014025,-0.0392,
,MANT,,24.97999954,924344960,1.242063327,,Information Technology,,,,0.088927592,0.113906609,0,,,,,-0.0036,0.088927592,0.1257,0.166970146,-0.242566483,,,0.090512412,0.036609288,0.014615693,-0.045004004,
,SVBI,,3.299999952,33220110,3.22497427,,Financials,,,,-0.083333322,0.059873372,0.000120409,,,,,0.0313,-0.083333322,0.0476,0.028037356,0.319999981,,,-0.000848485,0.029484849,0.015818182,0.022909091,
,FVE,,4.920000076,235788544,1.283891926,,Health Care,,,,-0.064638809,0.262209516,0,,,,,-0.0061,-0.064638809,0.0402,0.587096848,0.914396967,,,-0.143191055,0.021747967,0.076565039,0.029369918,
,MCPIQ,,8.970000267,1237516416,1.439507395,,Materials,,,,-0.137499943,-0.058591546,1.61614E-06,,,,,0.0406,-0.137499943,-0.2207,-0.544207311,-0.735007366,,,-0.326142688,-0.154983273,-0.298628754,-0.244615377,
,UNIS,,2.269999981,188998832,0.273842962,,Health Care,,,,-0.174545462,-0.291504447,0,,,,,-0.0847,-0.174545462,-0.2408,-0.455635506,-0.447688587,,,-0.290748901,-0.948017629,-1.480616752,-0.630969168,
,MKTG,,6.519999981,318084704,0.469573061,,,,,,-0.27069348,0.023710665,0,,,,,0.0156,-0.27069348,-0.3201,-0.365141218,-0.218225436,,,-0.453650308,-0.184570553,-0.168006135,-0.075996933,
,FSP,,11.55000019,957926976,0.913009018,,REIT,,,,0.012269969,0.023021588,0,,,,,0.0294,0.012269969,0.0564,0.225680123,0.138174271,,,-0.006277056,-0.005333333,0.015376623,0.008363636,
,MDAS,,16.10000038,950806464,0.460455431,,Health Care,,,,-0.091934529,0.012224359,0,,,,,-0.033,-0.091934529,-0.0568,0.422261556,0.684100384,,,-0.087701861,-0.014776397,0.051236024,0.034546583,
,CUTR,,9.449999809,133502984,0.657438488,,Health Care,,,,0.275303644,-0.063758874,0,,,,,0.0294,0.275303644,0.3089,0.367583215,0.206896539,,,0.079820107,0.053492065,0.035015874,0.00437037,
,H,,36.5,5986087424,0.817729465,,Consumer Discretionary,,,,0,0.020714699,0,,,,,0.0063,0,-0.0377,-0.013246868,0.022695472,,,-0.087589041,-0.040126027,-0.006717808,-0.019241096,
,9876547D,,9.180000305,613410304,0.809741859,,,,,,-0.028571377,0.007694687,0,,,,,0.0121,-0.028571377,-0.0507,-0.0086393,-0.057336544,,,-0.057952068,-0.031241829,-0.013159041,-0.006056645,
,XPL,,1.570000052,54133600,0.192542155,,Materials,,,,-0.018749982,-0.105350466,0,,,,,-0.0765,-0.018749982,0.2498,0.570000053,0.053691304,,,-0.075286622,0.074267513,0.048789807,-0.004585987,
,CORT,,1.440000057,143732592,0.498502107,,Health Care,,,,-0.423999977,-0.256448447,0,,,,,0.0286,-0.423999977,-0.5017,-0.64792176,-0.544303792,,,-0.819374968,-0.402083317,-0.40555554,-0.128819439,
,MWV,,30.90999985,5403083776,0.612242959,,Materials,,,,0.050097233,0.034794944,0,,,,,0.0506,0.050097233,0.0841,0.143724265,0.203677256,,,-0.022031705,0.005376901,0.010064704,0.008527985,
,CKEC,,15.11999989,268908384,0.212592851,,Consumer Discretionary,,,,0.11013216,0.017478072,0,,,,,0.0286,0.11013216,0.3148,0.069306897,1.005305035,,,0.122255292,0.056951059,0.005165344,0.049775133,
,VRNT,,27.77000046,1104493440,-0.103450154,,Information Technology,,,,0.018335167,0.033992053,0.25852758,,,,,0.0664,0.018335167,-0.03,-0.033077955,-0.018381069,,,-0.035685991,-0.031444004,-0.018988116,-0.008260713,
,VSI,,59.25999832,1787637120,0.243690961,,Consumer Discretionary,,,,0.035289947,0.033876562,0,,,,,-0.0164,0.035289947,0.1054,0.196688162,0.609888512,,,0.012158286,0.015062437,0.018516707,0.026437733,
,BCBP,,9.039999962,77010856,0.962812308,,Financials,,,,-0.091564992,-0.027645453,0,,,,,-0.0066,-0.091564992,-0.1075,-0.095543673,-0.053180083,,,-0.099834071,-0.041438053,-0.015597345,-0.008064159,
,EPAX,,4.75,83675056,1.047982567,,Consumer Discretionary,,,,0.042856142,0.047553001,0,,,,,0.0128,0.042856142,-0.0167,0.07742194,0.230272276,,,-0.142357895,-0.066968421,-0.022968421,-0.002526316,
,CVGW,,24.05999947,355784864,0.303236621,,Consumer Staples,,,,0.046659205,0.0405273,0,,,,,0.0058,0.046659205,-0.0654,-0.0977866,-0.069592433,,,-0.043017457,-0.019501247,-0.012535329,-0.018121364,
,NYX,,23.35000038,5674050048,1.37150709,,,,,,-0.056946682,0.075783611,0,,,,,0.0205,-0.056946682,-0.057,-0.016195421,-0.14467588,,,-0.05948608,-0.04332334,-0.014077088,-0.019002141,
,SBRA,,21.70000076,804011072,0.387207364,,REIT,,,,-0.008412637,0.028254586,0,,,,,-0.0069,-0.008412637,0.1494,0.559682106,1.207154746,,,0.021152073,0.04218433,0.048004607,0.035599077,
,RGC,,15.57999992,2422020096,-0.227372198,,Consumer Discretionary,,,,0.014322934,0.045994664,0,,,,,0.0203,0.014322934,0.1379,0.168737506,0.162455294,,,0.030712452,0.041501926,0.025609756,0.018626444,
,CQB,,7.130000114,330166784,2.164763467,,,,,,-0.01109569,-0.270735896,0,,,,,0.0244,-0.01109569,0.1883,0.315498158,-0.141997623,,,-0.088008414,0.046956521,0.059621317,-0.030406732,
,DDE,,2.130374908,69233992,1.668674544,,Consumer Discretionary,,,,-0.097100922,0.107678321,0,,,,,0.0145,-0.097100922,-0.1404,-0.25551813,0.106622565,,,-0.14358975,-0.074822511,-0.075667433,-0.011735024,
,AMRC,,9.399999619,423769856,0.611128735,,Industrials,,,,-0.150090483,0.051190227,0,,,,,0.0032,-0.150090483,-0.2173,-0.125581431,-0.208754249,,,-0.196755327,-0.114319154,-0.046191491,-0.043276597,
,POM,,19.73999977,4529777152,0.98305061,,Utilities,,,,-0.00654258,0.058501774,0,,,,,0.033,-0.00654258,0.0366,0.064849412,0.055137656,,,-0.014311044,0.002046606,-0.000491388,-0.003074975,
,CPSI,,50.06999969,554660416,0.118241915,,Health Care,,,,0.055598789,0.049381575,0,,,,,-0.0061,0.055598789,0.0193,-0.044030859,0.163647869,,,-0.060968644,-0.006762532,-0.021659677,-0.014220092,
,CME,,55.27000046,18426331136,1.178140121,,Financials,,,,-0.011800462,0.080607475,0,,,,,0.0115,-0.011800462,0.0148,0.090422599,0.154819368,,,-0.036171521,-0.008717206,0.002567396,0.00658947,
,NXST,,9,261177184,-0.613671491,,Consumer Discretionary,,,,-0.17203311,0.094414832,0,,,,,-0.1957,-0.17203311,0.0393,0.35746604,0.132075499,,,-0.092444444,0.087777778,0.101055556,0.027788889,
,CYNO,,22.52000046,425407296,0.321487218,,Health Care,,,,-0.145026563,0.018817261,0,,,,,-0.0209,-0.145026563,-0.1338,0.141987893,0.838367384,,,-0.06376554,-0.050230905,0.040830372,0.050763765,
,CEVA,,15.10999966,338748064,0.57654354,,Information Technology,,,,-0.002640262,0.046592148,0,,,,,0.0399,-0.002640262,-0.0627,-0.130609874,-0.475529332,,,0.024520186,-0.055896758,-0.037597618,-0.088616812,
,BDSI,,4.25,159299360,0.069240372,,Health Care,,,,-0.166727965,-0.003494766,0,,,,,-0.109,-0.166727965,-0.1379,0.214285714,3.086538611,,,-0.381294118,-0.076094118,0.020376471,0.058611765,
,APPY,,2.059999943,18936550,0.462724625,,Health Care,,,,-0.21072796,-0.436475599,0,,,,,-0.019,-0.21072796,0.3733,-0.238728781,-0.822107081,,,-0.836359246,1.15786411,-0.010485437,-1.151941779,
,IDIX,,5.114999771,684810048,0.350520558,,,,,,0.440845025,-0.040595199,0,,,,,0.0723,0.440845025,-0.0947,-0.434181439,-0.326973706,,,0.085063542,-0.116324541,-0.229853383,-0.176207242,
,FORM,,4.429999828,235983456,1.366422026,,Information Technology,,,,-0.028508797,-0.267493328,0,,,,,0.0548,-0.028508797,-0.1297,-0.260434057,-0.251689228,,,-0.145372466,-0.106027092,-0.098397295,-0.023566592,
,LF,,9.109999657,611983104,0.438190202,,Consumer Discretionary,,,,0.03054293,0.09310878,0,,,,,0.0794,0.03054293,-0.1596,-0.125719809,0.674632272,,,-0.054171242,-0.083951705,-0.044456643,0.027036225,
,SAFT,,44.88999939,687732736,1.012615785,,Financials,,,,-0.018502342,0.07744142,0,,,,,0.0248,-0.018502342,0.0045,0.149187249,0.128314043,,,-0.06108933,-0.015188238,0.014800624,0.001820004,
,RRGB,,32.75,466703872,0.657948276,,Consumer Discretionary,,,,-0.019167397,0.05301863,0,,,,,0.013,-0.019167397,0.0561,0.0234375,0.232129424,,,0.051593893,0.002607634,0.011114504,0.000900763,
,STX,,25.10000038,9475104768,0.334244332,,Information Technology,,,,-0.071482103,0.348703268,0,,,,,-0.0802,-0.071482103,-0.2072,0.093212659,0.524559162,,,-0.044139442,-0.078322708,0.029067729,0.018541832,
,NPO,,39.27999878,813590976,0.663355401,,Industrials,,,,0.074398176,0.046583604,0,,,,,0.0158,0.074398176,0.0464,0.019729967,0.173588209,,,0.04303717,0.004531568,0.004167515,0.00584776,
,SJM,,88.45999908,9682292736,0.532182526,,Consumer Staples,,,,0.039196012,0.04964568,0,,,,,0.028,0.039196012,0.0474,0.170312116,0.193942926,,,0.004516166,0.000517748,0.023912503,0.006917251,
,EEQ,,29.5,1246265856,0.479913628,,Energy,,,,-0.043155506,0.03763242,0,,,,,-0.0337,-0.043155506,-0.0361,-0.02130235,-0.01087968,,,-0.043549153,-0.007688136,-0.00020339,-0.004877966,
,SPOK,,11.56000042,253631008,1.024425215,,Telecommunication Services,,,,0.058284593,0.17309792,0,,,,,0.0586,0.058284593,0.0249,-0.047770485,-0.12402254,,,-0.027828719,-0.012880622,-0.032249134,-0.031297577,
,WHG,,39.97999954,320911456,0.224255004,,Financials,,,,0.040433565,0.039275631,0,,,,,0.029,0.040433565,0.1099,0.158034421,0.105618692,,,-0.005365183,0.015947974,0.011773387,-0.00307904,
,WYNN,,112.4000015,11305371648,0.036384032,,Consumer Discretionary,,,,-0.004930347,0.072632286,0,,,,,0.0281,-0.004930347,0.1676,0.175269398,0.013963747,,,-0.055893238,0.015780249,0.014842526,-0.005467082,
,PXP,,35.70000076,4605300224,0.713719605,,,,,,0.001121731,0.046490348,0,,,,,-0.0058,0.001121731,-0.0921,-0.002514673,0.003372651,,,-0.043697478,-0.051490195,0.001512605,-0.012103641,
,NCT,,8.390000343,1447431936,0.629404385,,REIT,,,,-0.030057721,0.270396123,0.042546387,,,,,0.0371,-0.030057721,0.1364,0.343017416,1.131770654,,,0.005923718,0.008593563,0.016567341,0.014564958,
,RUSHA,,19.14999962,709652224,0.833480124,,Industrials,,,,0.007894717,0.09528611,0,,,,,0.0165,0.007894717,0.1238,0.155703076,-0.000521933,,,0.022386423,0.032083552,0.03283551,-0.018245431,
,DKS,,52.50999832,6440508928,0.264720069,,Consumer Discretionary,,,,0.052707607,0.042238122,0,,,,,0.0128,0.052707607,0.0578,0.134806155,0.366643729,,,-0.004541992,0.002589983,0.01350219,0.017672825,
,TZOO,,17.55999947,277462048,0.204352272,,Information Technology,,,,-0.015143043,0.07521389,0,,,,,0.0162,-0.015143043,-0.2216,-0.246998298,-0.372633097,,,-0.163923695,-0.133633261,-0.056503419,-0.058798407,
,BANC,,11.80000019,139060112,0.918588416,,Financials,,,,0.003401357,0.015309926,0.230116311,,,,,0.0008,0.003401357,-0.0119,0.069744526,0.077973415,,,-0.032923728,-0.022711864,-0.008601695,-0.009127118,
,HALO,,6.230000019,702152768,0.072904044,,Health Care,,,,0.177693774,-0.096220887,0,,,,,0.0892,0.177693774,0.0741,-0.184554957,-0.342826971,,,-0.109502407,-0.033001605,-0.11717496,-0.091829855,
,PFS,,14.48999977,871690880,1.134052218,,Financials,,,,-0.024846954,0.075089692,0,,,,,0.0262,-0.024846954,-0.0526,0.057426138,0.146651666,,,-0.11414769,-0.044389235,-0.011297447,-0.001007591,
,GALT,,2,31932800,-0.153478555,,Health Care,,,,0.052631592,-0.366989428,0.22941928,,,,,0.1429,0.052631592,-0.0741,-0.145299114,-0.58333334,,,-0.1026,-0.0502,-0.0171,-0.16395,
,SAIA,,21.65999985,347497888,0.714476308,,Industrials,,,,-0.041592943,0.083784682,0,,,,,0.0388,-0.041592943,-0.0018,0.001386994,0.862424732,,,-0.012049862,-0.014626039,-0.004076639,0.017289935,
,PRAA,,98.81999969,1668289024,0.513696974,,Financials,,,,-0.055709525,0.070151514,0,,,,,0.0194,-0.055709525,-0.0152,0.429894354,0.424535041,,,-0.016091884,-0.003518519,0.011211293,0.010682048,
,KMX,,36.25999832,8296755712,0.355510882,,Consumer Discretionary,,,,0.074370321,0.049441856,0,,,,,0.0319,0.074370321,0.1854,0.285359784,0.260778791,,,0.070187538,0.039829015,0.045432986,0.009685604,
,XEC,,60.11999893,5202832896,0.649251465,,Energy,,,,0.053521844,0.071411096,0,,,,,-0.0457,0.053521844,0.053,0.133038024,-0.097177246,,,0.020908184,0.010958084,0.036390553,-0.001333999,
,DLB,,33.36999893,3437820672,0.494595623,,Information Technology,,,,0.056346906,0.077122696,0,,,,,0.023,0.056346906,0.0057,-0.221963175,0.013669526,,,0.025187295,-0.020725203,-0.056308063,-0.012349416,
,PKT,,20.64999962,402710080,0.357912591,,,,,,-0.088300222,0.014569846,0,,,,,0.0027,-0.088300222,-0.0255,-0.011961723,0.283405806,,,-0.113617436,-0.019501211,-0.010997579,0.022905569,
,IPCC,,54.72000122,638746560,1.056105883,,Financials,,,,-0.041849052,0.052761145,0,,,,,0.0381,-0.041849052,-0.0209,0.027825987,-0.035578795,,,-0.097149121,-0.036328581,-0.015042032,-0.010433114,
,NFP,,16.61000061,661677632,0.598626831,,,,,,-0.094822874,0.032916331,0,,,,,-0.0119,-0.094822874,0.1269,0.248872208,0.203623216,,,-0.040909089,0.044069836,0.048964477,0.008615292,
,REED,,6.949999809,83280456,0.040957989,,Consumer Staples,,,,-0.090314145,-0.000660419,0.008933669,,,,,0.0221,-0.090314145,0.1622,1.404844137,4.463836521,,,-0.024028778,0.055568347,0.117755399,0.086417269,
,1052394D,,2.839999914,162429536,-7.44076496,,REIT,,,,-0.123456819,-0.756272554,1.497627919,,,,,0.0597,-0.123456819,-0.1886,0.595505595,0.371980679,,,-0.169190146,-0.093028172,0.064154932,0.015035212,
,ACOR,,25.20999908,1012375616,0.242466338,,Health Care,,,,0.052609532,0.034255072,0,,,,,0.0052,0.052609532,0.1033,0.146430166,0.08898486,,,0.005870686,0.005569219,0.006422055,-0.006168187,
,TRW,,50.63999939,6187332096,0.576015631,,,,,,0.088798134,0.169863195,0,,,,,0.0146,0.088798134,0.1585,0.312937511,0.550520503,,,0.029492496,0.034885466,0.046611375,0.018623618,
,ACTG,,22.23999977,1107302912,0.556285924,,Industrials,,,,-0.143627248,0.03810791,0,,,,,0.0335,-0.143627248,-0.1557,-0.360368149,-0.361286618,,,-0.107374102,-0.072036871,-0.130912771,-0.089096224,
,EQIX,,185.7599945,9032616960,0.247287016,,REIT,,,,0.028628375,0.012960253,0,,,,,-0.0054,0.028628375,-0.0602,0.138863306,0.857228562,,,-0.054307172,-0.032304588,0.011347976,0.033611112,
,MOH,,27.84000015,1296879104,0.582167622,,Health Care,,,,0.110490646,-0.037638821,0,,,,,0.0014,0.110490646,0.1485,0.091336727,0.274141861,,,0.107094109,0.042054597,0.031390086,-0.014533046,
,WRC,,71.88999939,2945074432,0.353772386,,,,,,0.018560464,0.026097473,0,,,,,0.0103,0.018560464,0.3981,0.615142712,0.418228474,,,0.255564058,0.114689109,0.081057171,0.020386702,
,VIAS,,11.72999954,241952368,0.989570774,,,,,,-0.233834146,-0.132947655,0,,,,,0.1602,-0.233834146,-0.2288,-0.389380526,-0.356907912,,,-0.23346122,-0.099624897,-0.08095482,-0.043393011,
,MPAC,,6.929999828,19991100,1.317136126,,,,,,0.024948905,0.05312364,0,,,,,0.0484,0.024948905,0.315,0.280961187,0.186643775,,,0.229826846,0.102294375,0.047748919,-0.0001443,
,NPTN,,5.369999886,162591776,1.248076705,,Information Technology,,,,0.022857121,-0.230903438,0,,,,,-0.0147,0.022857121,-0.0324,0.306569273,0.132911423,,,-0.047579144,-0.023538176,0.016815643,-0.006517691,
,TRLG,,26.09000015,672769792,0.490637392,,,,,,0.02518318,0.070698775,0,,,,,0.0031,0.02518318,0.134,-0.095079984,-0.240519846,,,0.055860483,0.049252587,-0.027148333,-0.033752395,
,ADES,,16.35000038,163933264,-0.065770666,,Materials,,,,-0.161108231,0.051777167,0,,,,,-0.0268,-0.161108231,-0.3028,-0.37571592,-0.203604489,,,-0.131633024,-0.085406726,-0.055253821,-0.014629969,
,HSON,,4.389999866,145713760,0.687745619,,Industrials,,,,0.086633641,-0.011550042,0,,,,,0.0452,0.086633641,-0.0539,0.111392358,-0.069915241,,,-0.017927108,-0.022824602,0.024419135,-0.022710707,
,CHTP,,1.870000005,125365928,0.22090739,,,,,,0.068571431,-0.334749119,0,,,,,0.1835,0.068571431,0.781,0.395522357,-0.640384601,,,0.137860962,0.094491978,0.032834225,-0.174064171,
,SHLD,,42.00999832,4470939136,0.859327259,,Consumer Discretionary,,,,-0.329663323,-0.631634647,0,,,,,-0.116,-0.329663323,-0.1139,-0.053854112,-0.208631495,,,-0.030911689,0.02240181,0.01882409,0.024732208,
,DTSI,,15.27999973,286176064,0.655456635,,Information Technology,,,,-0.271687318,-0.030467258,0,,,,,0.0416,-0.271687318,-0.3194,-0.446977915,-0.469260186,,,-0.380857337,-0.174136129,-0.137460735,-0.083259164,
,SMA,,9.75,358678112,0.865037496,,,,,,0.064410498,0.008453262,0,,,,,0.1029,0.064410498,0.0473,0.25968996,0.24521074,,,-0.085025641,-0.032738462,0.01,0.011569231,
,AHT,,9.050000191,616844352,1.430508317,,REIT,,,,0.053550644,-0.152041596,0.000256142,,,,,0.0134,0.053550644,0.1076,0.08699826,0.196277943,,,0.022088397,0.006055248,0.004552486,-0.002696133,
