Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,MDF,,5.130000114,210914304,0.38918176,,,,,,-0.093639531,0.126592983,0.002370631,,,,,0.0281,-0.093639531,0.0534,0.032193226,0.469914069,,,4.9355,4.996,4.747,4.6789,
,DEL,,58.33000183,734176384,0.316645979,,Materials,,,,0.126408686,0.009123148,0,,,,,0.0426,0.126408686,0.0156,-0.037622902,0.436176702,,,53.6165,53.7096,56.8653,58.2095,
,CWTRQ,,1.059999943,98093880,1.421750266,,,,,,-0.158730198,-1.076611507,0,,,,,0.0192,-0.158730198,-0.4362,-0.641891916,-0.753488396,,,3.8422,4.6937,6.8786,9.2412,
,PCYG,,4.5,51374700,0.09135958,,Information Technology,,,,-0.036402585,-0.021613129,0.000209364,,,,,0.0147,-0.036402585,0.0345,-0.181818182,0.084337324,,,4.6211,4.7534,4.782,5.0704,
,SWHC,,3.269999981,210949328,0.475905759,,Consumer Discretionary,,,,-0.02678569,-0.39236911,0,,,,,0.1354,-0.02678569,-0.0603,-0.180451135,-0.128000005,,,2.919,3.151,3.266,3.5013,
,NCR,,17.22999954,2710279168,0.172306973,,Information Technology,,,,-0.136340908,0.058665543,0,,,,,0.0506,-0.136340908,-0.1173,-0.097905801,0.340855956,,,16.637,18.1838,18.5722,17.8219,
,SNAK,,4.039999962,73239544,0.555162277,,Consumer Staples,,,,-0.073394533,0.056154528,0,,,,,0.0125,-0.073394533,-0.0218,-0.044917271,0.202380979,,,3.996,4.1754,4.138,4.1188,
,TEN,,32.81000137,1975398144,0.053660069,,Consumer Discretionary,,,,-0.178517714,0.057709885,0,,,,,0.0821,-0.178517714,-0.2141,-0.177281833,0.327265465,,,31.7755,38.3886,39.7501,40.47,
,DGX,,50.06999969,7925394944,0.432678747,,Health Care,,,,-0.072949431,0.064244369,0,,,,,0.0345,-0.072949431,-0.1415,-0.114677758,0.159393897,,,48.2505,53.818,55.8061,55.295,
,CVD,,49.56000137,3010472704,0.482565409,,,,,,-0.13432312,0.022530681,0,,,,,-0.0223,-0.13432312,-0.158,-0.121743734,0.306617479,,,50.1635,55.5098,57.4757,55.4535,
,AMTD,,15.375,8692926464,0.519646635,,Financials,,,,-0.162581727,0.067648222,0,,,,,0.0374,-0.162581727,-0.2846,-0.291162474,0.062708435,,,14.8943,17.2711,18.9864,19.4944,
,ROK,,64.12999725,9184025600,0.206565194,,Industrials,,,,-0.100205659,0.068227162,0,,,,,0.0882,-0.100205659,-0.2231,-0.260933046,0.279723711,,,60.203,73.0392,78.9131,79.381,
,IGTE,,11.22999954,635385536,-0.030924569,,Information Technology,,,,-0.250833908,0.067730531,0.527344406,,,,,0.0999,-0.250833908,-0.3913,-0.379558049,-0.280392293,,,11.1815,14.0578,15.7005,17.2193,
,EEFT,,16.27000046,834416704,0.694380883,,Information Technology,,,,-0.051864767,-0.012475781,0,,,,,0.0876,-0.051864767,-0.059,-0.099612577,0.158007134,,,15.2565,15.6364,16.5073,17.2732,
,CPBK,,3,30182398,1.364603303,,,,,,-0.016393427,-0.219697587,0,,,,,0.0274,-0.016393427,-0.0625,0.086956525,0,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,
,MPB,,8.430000305,29352416,0.975354124,,Financials,,,,0.018175609,0.093348364,0.340687458,,,,,-0.0024,0.018175609,-0.0307,-0.092840625,0.154573653,,,8.302,8.543,8.8273,8.1306,
,OVRL,,2.839999914,65283936,0.193186881,,,,,,-0.050167256,-0.229106897,0,,,,,0.1181,-0.050167256,0.3271,0.797468251,0.832258066,,,12.6225,13.7784,12.5532,10.6095,
,PFBX,,11.03999996,56711376,1.873477378,,Financials,,,,-0.171171155,0.007314987,0,,,,,-0.0063,-0.171171155,-0.2206,-0.313958454,-0.204388156,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,
,ROVI,,48.88999939,5439574528,0.343526327,,Information Technology,,,,-0.077024764,0.020643526,0,,,,,0.07,-0.077024764,-0.1565,-0.117827481,0.123649765,,,45.8858,51.9727,52.6074,55.4633,
,LTS,,1.549999952,283848096,0.172803696,,Financials,,,,0.131386823,-0.013070371,0,,,,,-0.0064,0.131386823,0.1232,0.476190498,0.937499912,,,1.365,1.3986,1.3101,1.235,
