Summary results for input/data60BR
Run Date,16/08/22
Period,60
Start,2011/09
End,2016/08
Avg#Sec,1256

Average Returns,Gross,Net
Monthly, 1.702779%, 1.693363%
Annual, 20.433345%, 20.320353%
Median, 2.483717%, 2.481486%
Sample Std Dev
Monthly, 4.755501%
Annual, 16.473539%
Total Cpd Rtn, 158.108922%, 156.701979%
Ann Cpd Rtn, 20.881712%, 20.749640%

Sharpe Ratio, 0.324420
Ann Turnover, 18.122952%
Txn cost(%AUM), 0.112991%

T-Bill, 0.160000%
