Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,4.300000191,66688960,1.012011583,,Financials,,,,-0.042316167,-0.137369064,0,,,,,0.0118,-0.042316167,0.0591,0.143617075,-0.138276475,,,4.1745,4.0926,4.102,4.1532,
,MANT,,29.82999992,1110046720,1.023041567,,Information Technology,,,,0.01428086,-0.015039908,0,,,,,0.0088,0.01428086,0.0323,0.083303883,0.151556707,,,29.2345,29.3204,29.2428,28.8473,
,SVBI,,4.710000038,47414060,1.754627214,,Financials,,,,0.035193332,-0.554476879,8.43632E-05,,,,,-0.0366,0.035193332,0.049,-0.030864216,0.113475181,,,4.595,4.5798,4.603,4.7839,
,FVE,,4.829999924,234802928,1.349851106,,Health Care,,,,-0.006172883,0.039164759,0,,,,,-0.0585,-0.006172883,-0.1105,-0.047337325,0.021141629,,,4.915,5.3972,5.4063,5.3455,
,MCPIQ,,4.75,1142650624,1.254181226,,Materials,,,,0.012793165,-0.342311114,1.75032E-06,,,,,-0.05,0.012793165,-0.0206,-0.063116403,-0.186643857,,,4.794,4.9452,5.0307,5.5992,
,UNIS,,3.25,333623904,0.079187971,,Health Care,,,,-0.201474235,-0.190597854,0,,,,,-0.0922,-0.201474235,-0.3041,0.072607271,0.641414126,,,34.855,41.35,42.6195,37.508,
,FSP,,12.18000031,1220282624,0.846035143,,REIT,,,,-0.018154275,0.013654214,0,,,,,0.0066,-0.018154275,0.0318,-0.048042598,-0.154041924,,,12.2695,12.3152,12.1695,12.5543,
,MDAS,,22.82999992,1392271360,0.435971763,,Health Care,,,,-0.076082527,0.019690845,0,,,,,-0.0547,-0.076082527,0.0358,-0.008641253,0.218900186,,,23.9295,24.063,22.3922,22.8336,
,PLMT,,13.51000023,172826800,0.564252766,,Financials,,,,-0.04116394,0.165391016,0,,,,,-0.0052,-0.04116394,0.1119,0.00670642,0.007231799,,,13.7835,13.7538,13.1862,13.1394,
,EAC,,15.81000042,218012528,0.957706394,,Industrials,,,,-0.181253192,0.04525428,0,,,,,-0.0727,-0.181253192,-0.1817,-0.193367341,-0.20191818,,,17.488,19.0249,19.5821,18.5211,
,CUTR,,10.31000042,146337584,0.574315891,,Health Care,,,,-0.078641572,-0.032438693,0,,,,,-0.0106,-0.078641572,0.0853,0.025870669,-0.072007134,,,10.9045,10.8434,10.2128,9.8142,
,H,,56.27999878,8717639680,0.546822333,,Consumer Discretionary,,,,0.045902199,0.029021617,0,,,,,0.0329,0.045902199,0.1777,0.182352953,0.318650384,,,54.011,53.4162,51.1238,48.2612,
,9876547D,,14.57999992,964196736,0.481763722,,,,,,-0.013531787,0.009585181,0,,,,,0.0146,-0.013531787,0.2756,0.388571421,0.480202981,,,14.566,14.1828,12.7371,11.5291,
,XPL,,1.059999943,41565448,0.194103526,,Materials,,,,-0.165354363,-0.04823718,0,,,,,0.0192,-0.165354363,0.0818,0.191011191,-0.123967017,,,1.2218,1.3516,1.1348,1.0292,
,CORT,,4.420000076,445046528,0.047224276,,Health Care,,,,0.013761454,-0.103384696,0,,,,,0.0995,0.013761454,0.2849,1.615384572,1.497175211,,,3.9895,3.8709,3.4408,2.6079,
,MWV,,39.06999969,6534101504,0.74195358,,Materials,,,,0.037991507,0.059533817,0,,,,,0.0217,0.037991507,0.1228,0.170617609,0.191327923,,,38.246,37.3914,36.6885,36.6895,
,CKEC,,29.65999985,682564544,0.213559303,,Consumer Discretionary,,,,-0.006697949,0.007310664,0,,,,,-0.0317,-0.006697949,0.0941,0.29576237,0.689066102,,,29.6415,30.1526,28.4343,24.6936,
,VRNT,,43.77000046,2346693120,0.268696836,,Information Technology,,,,-0.067334324,0.025046309,0,,,,,-0.0295,-0.067334324,-0.0368,0.198521356,0.324757846,,,45.164,46.0778,45.0556,40.7466,
,VSI,,47.88000107,1473582848,0.35854109,,Consumer Discretionary,,,,0.00757577,0.04515932,0,,,,,-0.0054,0.00757577,0.0683,0.02067792,-0.025839276,,,47.2925,46.0876,47.3194,46.6395,
,BCBP,,13.30000019,110946496,0.831662137,,Financials,,,,0.016819592,0.077686095,0,,,,,0.0075,0.016819592,0.0511,0.227982199,0.332179248,,,13.199,13.2048,13.2041,12.1161,
,EPAX,,4.239999771,72246920,0.690493103,,Consumer Discretionary,,,,0.070707003,-0.090924291,0,,,,,0.0707,0.070707003,-0.1469,0.149051411,0.26567161,,,4.0211,3.9395,4.2734,3.9671,
,MACK,,4.389999866,453275360,-0.095890939,,Health Care,,,,-0.128968274,-0.288312605,0,,,,,-0.1077,-0.128968274,-0.1638,0.638059611,-0.107723618,,,4.783,5.1073,5.1966,4.4458,
