Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,5.550000191,86075288,0.932822903,,Financials,,,,0.020197183,0.089665689,0,,,,,-0.0057,0.020197183,-0.0931,0.238839323,0.512261601,,,5.7043,5.7931,5.8995,5.2958,
,MANT,,28.82999992,1082772224,1.084620597,,Information Technology,,,,-0.064871878,0.047748731,0,,,,,0.0191,-0.064871878,0.0039,-0.02547434,-0.081930808,,,28.6345,30.4222,28.9638,29.1074,
,SVBI,,5.53000021,55791500,0.575177222,,Financials,,,,-0.031523612,0.043537098,0.482026832,,,,,0.0759,-0.031523612,0.0655,0.12325601,0.271264444,,,5.395,5.5356,5.2377,5.028,
,FVE,,2.539999962,124551224,1.529202154,,Health Care,,,,-0.230303031,-0.839485929,0,,,,,-0.0268,-0.230303031,-0.2232,-0.439293633,-0.313513533,,,2.7045,3.151,3.181,3.7589,
,FSP,,9.760000229,977829120,0.9554778,,REIT,,,,-0.053450853,0.023477517,0,,,,,0.0285,-0.053450853,-0.0444,-0.135543113,-0.207681653,,,9.864,10.0554,10.4323,11.013,
,FSNN,,2.109999895,24946426,0.177424774,,Telecommunication Services,,,,-0.372023821,-0.533154729,9.70079E-06,,,,,-0.0186,-0.372023821,-0.2097,-0.299003355,-0.412256283,,,2.503,2.588,2.4288,2.6865,
,EAC,,1.779999971,24636804,4.302871428,,Industrials,,,,-0.13592232,-2.940965882,0,,,,,-0.043,-0.13592232,-0.4047,-0.498591551,-0.75,,,1.918,2.1141,2.6183,3.2024,
,CUTR,,11.23999977,145317216,0.338776102,,Health Care,,,,-0.125972001,-0.055843349,0,,,,,0.0446,-0.125972001,-0.1717,-0.249165025,-0.17413666,,,11.34,12.474,13.2818,13.9938,
,H,,38.68000031,5369788416,0.769117804,,Consumer Discretionary,,,,-0.204769721,0.050095084,0,,,,,0.0005,-0.204769721,-0.2325,-0.322947671,-0.322591921,,,40.119,45.338,47.7898,52.1009,
,CORT,,3.650000095,397032192,0.033944351,,Health Care,,,,-0.303435066,-0.028365458,0,,,,,-0.0445,-0.303435066,-0.0108,-0.272908345,0.237288148,,,3.864,4.5554,4.3993,5.0519,
,CKEC,,22.18000031,545138560,0.521016132,,Consumer Discretionary,,,,-0.049700079,-0.017525819,0,,,,,-0.0036,-0.049700079,-0.1339,-0.07467664,-0.226369018,,,22.1175,22.1118,22.6897,24.8968,
,VRNT,,36.61000061,2279110912,0.466759641,,Information Technology,,,,-0.115486805,0.002533444,0,,,,,-0.0287,-0.115486805,-0.2306,-0.370529561,-0.316977581,,,38.1665,41.0906,43.4203,52.0636,
,VSI,,30.43000031,886138560,0.637825741,,Consumer Discretionary,,,,-0.085911701,0.066183781,0,,,,,0.0636,-0.085911701,0.0606,-0.134281679,-0.287186665,,,30.37,31.1704,31.7841,35.0246,
,BCBP,,10.47000027,113511832,0.77702032,,Financials,,,,0.00580227,0.059799933,0.088096543,,,,,0.0154,0.00580227,0.0601,-0.058029307,-0.034933201,,,10.4129,10.5996,10.4435,11.1755,
,MACK,,6.170000076,713092352,-0.197935092,,Health Care,,,,-0.258413425,-0.153130236,0,,,,,-0.058,-0.258413425,-0.3394,-0.386679939,-0.354602531,,,6.5655,7.6672,8.6347,9.9904,
,CVGW,,51.75,899637248,0.184438793,,Consumer Staples,,,,0.045243421,0.030233297,0,,,,,-0.0044,0.045243421,0.0224,-0.039257113,0.330689683,,,50.246,51.6798,50.0495,51.6055,
,SBRA,,18.36000061,1195861248,0.885736563,,REIT,,,,-0.11046506,0.055435361,4.85006E-05,,,,,-0.0843,-0.11046506,-0.1724,-0.300881288,-0.409899097,,,19.538,19.748,21.2356,24.0801,
,RGC,,17.25,2699028736,-0.334268394,,Consumer Discretionary,,,,-0.08098031,0.053537778,0,,,,,-0.0188,-0.08098031,-0.0992,-0.083190972,-0.146043422,,,17.6255,18.2168,18.6016,19.5636,
,AMRC,,5.449999809,253522512,1.132972302,,Industrials,,,,-0.181681692,0.041948937,0,,,,,-0.0198,-0.181681692,-0.159,-0.180451168,-0.119547697,,,5.572,6.0408,6.1929,6.5287,
,POM,,26.68000031,6766506496,0.615531849,,Utilities,,,,0.019877693,0.034286526,0.027044975,,,,,0.016,0.019877693,0.0122,0.014751232,0.015275093,,,26.1805,26.1132,25.7234,26.0424,
,FBMS,,17.14999962,92664176,0.931460287,,Financials,,,,-0.059758781,0.091265043,0.184785542,,,,,0.0115,-0.059758781,0.0683,0.009695342,0.247986838,,,17.6998,17.31,17.212,16.8513,
,CPSI,,52.52999878,593730176,0.123045792,,Health Care,,,,0.030808472,0.030895253,0,,,,,0.0529,0.030808472,0.4039,0.02096144,-0.059451335,,,49.7095,48.0824,45.6493,48.7243,
,CME,,89.84999847,30390538240,0.943609497,,Financials,,,,-0.026754779,0.041519502,0,,,,,0.0599,-0.026754779,-0.0136,-0.034336638,0.097942778,,,86.5425,91.7808,92.3605,93.5307,
,NXST,,45.20999908,1384366592,0.040648915,,Consumer Discretionary,,,,-0.237862453,0.057655249,0,,,,,-0.0894,-0.237862453,-0.1477,-0.184804001,-0.104764158,,,50.0765,54.6764,52.4592,53.7651,
,CYNO,,36.20000076,822670656,0.473910182,,Health Care,,,,-0.172571411,0.038385956,0,,,,,-0.0256,-0.172571411,-0.0383,-0.05778234,0.157289002,,,38.607,40.0416,37.199,36.7623,
,CEVA,,23.14999962,473256608,0.388127703,,Information Technology,,,,-0.044178354,0.004287315,0,,,,,0.0207,-0.044178354,-0.0094,0.344367047,0.235985061,,,22.429,23.6664,22.6914,21.0404,
,CYTK,,7.699999809,299124000,0.224990305,,Health Care,,,,-0.264565462,-0.066290234,0,,,,,-0.0351,-0.264565462,-0.1057,0.09065154,0.033557048,,,8.8205,10.3266,9.1649,7.8635,
,BDSI,,4.050000191,213294512,0.092350303,,Health Care,,,,-0.178498919,-0.307035382,9.81345E-06,,,,,0.0279,-0.178498919,-0.2472,-0.486040592,-0.702861324,,,4.0115,4.8422,5.5148,6.7711,
,FORM,,8.31000042,483311360,0.604790287,,Information Technology,,,,-0.109324707,-0.00574164,0,,,,,-0.0303,-0.109324707,0.0085,0.298437546,0.050568973,,,8.148,8.5392,7.985,8.055,
,SAFT,,56.41999817,851551168,0.751738719,,Financials,,,,-0.011216319,-0.016174013,0,,,,,0.0316,-0.011216319,-0.0143,0.016056767,-0.060396796,,,55.147,55.1072,55.5687,56.2747,
,RRGB,,61.74000168,859911296,0.456929697,,Consumer Discretionary,,,,-0.004354082,0.046460606,0,,,,,-0.0024,-0.004354082,-0.1756,-0.328548083,-0.235891097,,,59.9105,62.774,69.6126,76.776,
,CAPR,,2.670000076,43400812,0.044369354,,Health Care,,,,0.007547162,-0.263572995,0,,,,,0.2027,0.007547162,-0.3258,-0.371764688,-0.535652161,,,2.3785,3.1787,3.7102,4.5013,
,STX,,29.04999924,8611057664,0.211472273,,Information Technology,,,,-0.218035046,0.072929485,0,,,,,0.0401,-0.218035046,-0.2243,-0.396121298,-0.482247277,,,30.9768,33.4703,38.0536,45.2544,
,INBK,,26.79999924,120100104,0.868692004,,Financials,,,,-0.076180661,0.074346314,0,,,,,0.0452,-0.076180661,-0.1261,-0.102867361,0.689257906,,,26.189,28.775,29.8167,28.0794,
,NPO,,44.47000122,976451968,0.495364868,,Industrials,,,,-0.010898529,-0.024271547,0,,,,,0.0916,-0.010898529,-0.0909,-0.130769749,-0.248784687,,,42.349,45.3314,45.3317,51.0482,
,SJM,,128.3200073,15356684288,0.471013143,,Consumer Staples,,,,0.028205162,0.02494028,0,,,,,0.0442,0.028205162,0.0995,0.183021433,0.249517236,,,121.8495,121.9096,118.9737,116.0104,
,EEQ,,17.45000076,1278835712,0.247725331,,Energy,,,,-0.193622863,-0.2362305,0,,,,,0.066,-0.193622863,-0.3439,-0.440416008,-0.491792163,,,16.9734,19.0765,21.3667,25.1928,
