Date (MM/YY),MKTCAP ($B),Max MKTCAP ($M),Min MKTCAP ($M),Return,No. of Secs,Turnover,Est Txn cost (%AUM)
2011/07,15797.020558,401000.000000,10.182596, -0.015136, 3707, 0.000000, 0.000000
2011/08,15431.176931,393000.000000,10.000028, -0.006764, 3712, 0.002238, 0.000009
2011/09,14411.744398,360000.000000,10.003504, -0.054216, 3663, 0.000151, 0.000003
2011/10,13236.247239,354000.000000,10.018760, -0.069893, 3616, 0.000135, 0.000004
2011/11,14706.388072,380000.000000,10.077390, 0.123996, 3622, 0.000653, 0.000006
2011/12,14547.940700,386000.000000,10.093260, 0.001449, 3606, 0.001530, 0.000007
2012/01,14640.624813,406000.000000,10.403600, 0.012414, 3585, 0.001440, 0.000007
2012/02,15351.106122,426000.000000,10.159896, 0.058343, 3610, 0.000480, 0.000004
2012/03,16057.453950,499000.000000,10.127014, 0.050868, 3628, 0.000982, 0.000006
2012/04,16447.997825,559000.000000,10.018242, 0.034817, 3643, 0.001197, 0.000005
2012/05,16304.056679,546000.000000,10.007218, -0.003482, 3636, 0.000909, 0.000006
2012/06,15265.046287,540000.000000,10.114630, -0.055674, 3617, 0.002899, 0.000011
2012/07,15831.403875,546000.000000,10.019515, 0.025123, 3600, 0.000524, 0.000004
2012/08,15907.688276,573000.000000,10.061143, 0.013142, 3606, 0.000740, 0.000007
2012/09,16224.617584,624000.000000,10.061143, 0.028742, 3605, 0.000380, 0.000004
2012/10,16608.911384,625000.000000,10.067676, 0.027227, 3605, 0.000212, 0.000002
2012/11,16283.729727,560000.000000,10.022681, -0.012902, 3592, 0.001337, 0.000009
2012/12,16353.837018,551000.000000,10.237117, 0.011816, 3571, 0.000240, 0.000003
2013/01,16523.708358,501000.000000,10.060680, 0.015447, 3567, 0.001713, 0.000007
2013/02,17417.631095,428000.000000,10.052736, 0.059401, 3587, 0.000711, 0.000008
2013/03,17562.154465,415000.000000,10.223805, 0.015496, 3580, 0.000400, 0.000003
2013/04,18234.994523,416000.000000,10.008193, 0.042209, 3584, 0.000508, 0.000003
2013/05,18527.354292,416000.000000,10.303360, 0.020909, 3583, 0.000599, 0.000004
2013/06,18945.850049,422000.000000,10.467447, 0.028833, 3608, 0.001092, 0.000006
2013/07,18582.216125,402000.000000,10.085416, -0.025128, 3614, 0.001440, 0.000013
2013/08,19655.776786,417000.000000,10.039350, 0.059843, 3640, 0.002360, 0.000014
2013/09,19063.527594,443000.000000,10.017679, -0.023648, 3653, 0.000258, 0.000003
2013/10,19775.960845,433000.000000,10.017214, 0.041928, 3672, 0.000804, 0.000005
2013/11,20571.400178,470000.000000,10.064023, 0.046033, 3683, 0.002468, 0.000009
2013/12,21120.325611,500000.000000,10.056954, 0.023256, 3695, 0.001048, 0.000006
2014/01,21707.750965,505000.000000,10.100511, 0.031716, 3706, 0.001275, 0.000006
2014/02,21047.598759,447000.000000,10.133537, -0.023957, 3717, 0.000790, 0.000005
2014/03,22013.276930,469000.000000,10.106063, 0.050754, 3726, 0.000663, 0.000005
2014/04,22044.418668,479000.000000,10.226855, 0.006176, 3763, 0.000717, 0.000005
2014/05,22033.282542,508000.000000,10.021825, 0.002186, 3781, 0.000622, 0.000005
2014/06,22405.341772,545000.000000,10.690296, 0.024612, 3769, 0.000751, 0.000004
2014/07,22979.286172,560000.000000,10.125116, 0.029940, 3770, 0.000283, 0.000003
2014/08,22496.083076,572000.000000,10.153177, -0.016322, 3835, 0.001740, 0.000009
2014/09,23347.395110,614000.000000,10.070386, 0.024861, 3847, 0.000406, 0.000003
2014/10,22821.978317,603000.000000,10.458649, -0.017660, 3836, 0.000704, 0.000003
2014/11,23368.722520,633000.000000,10.141928, 0.031057, 3835, 0.000490, 0.000005
2014/12,23836.354533,698000.000000,10.559171, 0.046501, 3838, 0.001405, 0.000006
2015/01,23818.255561,647000.000000,10.096968, 0.002586, 3815, 0.001157, 0.000005
2015/02,23135.018267,682000.000000,10.073462, -0.031125, 3805, 0.001234, 0.000006
2015/03,24381.734036,748000.000000,10.012207, 0.045217, 3818, 0.001327, 0.000005
2015/04,24083.157508,725000.000000,10.160681, -0.006330, 3802, 0.000187, 0.000006
2015/05,24144.160730,721000.000000,10.004764, 0.009073, 3819, 0.001022, 0.000004
2015/06,24386.832471,751000.000000,10.109023, 0.005463, 3819, 0.000776, 0.000005
2015/07,23947.407547,723000.000000,10.615497, -0.012401, 3814, 0.001359, 0.000007
2015/08,24260.251996,698000.000000,10.065144, 0.023658, 3813, 0.007359, 0.000022
2015/09,22657.698094,643000.000000,10.420226, -0.056925, 3799, 0.000642, 0.000006
2015/10,21920.312752,629000.000000,10.183881, -0.025263, 3768, 0.000186, 0.000003
2015/11,23556.392443,666000.000000,10.130963, 0.083185, 3784, 0.006543, 0.000023
2015/12,23622.682783,660000.000000,10.398894, 0.009813, 3782, 0.001403, 0.000010
2016/01,23046.726400,587000.000000,10.005097, -0.015140, 3747, 0.000582, 0.000005
2016/02,21650.380465,540000.000000,10.365285, -0.065123, 3692, 0.000024, 0.000005
2016/03,21415.400104,536000.000000,10.285226, 0.004388, 3657, 0.000183, 0.000007
2016/04,22827.872574,604000.000000,10.096057, 0.074337, 3668, 0.000261, 0.000005
2016/05,22863.027829,513000.000000,10.052415, 0.015583, 3666, 0.001031, 0.000009
2016/06,23174.251625,547000.000000,10.414280, 0.022172, 3648, 0.000619, 0.000008
2016/07,23121.377270,524000.000000,10.218182, 0.023183, 3655, 0.000373, 0.000005
2016/08,23988.894173,562000.000000,10.130850, 0.059712, 3668, 0.001206, 0.000006
