Date (MM/YY),MKTCAP ($B),Max MKTCAP ($M),Min MKTCAP ($M),Return,No. of Secs,Turnover,Est Txn cost (%AUM)
07/11,15797.020558,401000.000000,10.182596,0.011360,3707,0.000000,0.000000
10/11,13236.247239,354000.000000,10.018760,-0.126552,3616,0.002090,0.000008
01/12,14640.624813,406000.000000,10.403600,0.134449,3585,0.004696,0.000011
04/12,16447.997825,559000.000000,10.018242,0.150881,3643,0.003282,0.000008
07/12,15831.403875,546000.000000,10.019515,-0.017199,3600,0.005831,0.000015
10/12,16608.911384,625000.000000,10.067676,0.069994,3605,0.001555,0.000007
01/13,16523.708358,501000.000000,10.060680,0.014119,3567,0.003261,0.000012
04/13,18234.994523,416000.000000,10.008193,0.122313,3584,0.002060,0.000010
07/13,18582.216125,402000.000000,10.085416,0.040036,3614,0.004280,0.000016
10/13,19775.960845,433000.000000,10.017214,0.079844,3672,0.003389,0.000017
01/14,21707.750965,505000.000000,10.100511,0.110647,3706,0.004761,0.000017
04/14,22044.418668,479000.000000,10.226855,0.029079,3763,0.002281,0.000006
07/14,22979.286172,560000.000000,10.125116,0.055796,3770,0.002117,0.000008
10/14,22821.978317,603000.000000,10.458649,0.010293,3836,0.003314,0.000009
01/15,23818.255561,647000.000000,10.096968,0.066875,3815,0.003500,0.000010
04/15,24083.157508,725000.000000,10.160681,0.031189,3802,0.002755,0.000012
07/15,23947.407547,723000.000000,10.615497,0.012307,3814,0.003202,0.000011
10/15,21920.312752,629000.000000,10.183881,-0.055656,3768,0.006607,0.000020
01/16,23046.726400,587000.000000,10.005097,0.074451,3747,0.010102,0.000030
04/16,22827.872574,604000.000000,10.096057,0.022502,3668,0.000357,0.000011
07/16,23121.377270,524000.000000,10.218182,0.038803,3655,0.001783,0.000015
