Summary results for input/data62B
Run Date,16/08/23
Period,62
Start,2011/07
End,2016/08
Avg#Sec,3696

Average Returns,Gross,Net
Monthly, 1.339317%, 1.338691%
Annual, 16.071799%, 16.064293%
Median, 1.547136%, 1.546615%
Sample Std Dev
Monthly, 3.653129%
Annual, 12.654809%
Total Cpd Rtn, 119.277564%, 119.193862%
Ann Cpd Rtn, 16.412302%, 16.403700%

Sharpe Ratio, 0.322824
Ann Turnover, 1.292324%
Txn cost(%AUM), 0.007506%

T-Bill, 0.160000%
