Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV
,ACFC,,5.860000134,90883096,0.881043929,,Financials,,,,0.003424654,0.082215509,0,,,,,0.0209,0.003424654,0.0597,0.316854019,0.476070552,,,5.7658,6.0132,5.9285,5.146,
,MANT,,30.23999977,1135727744,1.034048047,,Information Technology,,,,-0.091299602,0.045522354,0,,,,,-0.0169,-0.091299602,0.1841,0.057787479,0.028590415,,,31.2235,30.569,28.7825,29.5984,
,SVBI,,5.75,58011052,0.553170454,,Financials,,,,0.012323974,0.050007712,0.463584077,,,,,0.0309,0.012323974,0.2339,0.19542621,0.266798845,,,5.6834,5.4827,5.1671,4.9603,
,FVE,,3.180000067,155934208,1.221438211,,Health Care,,,,-0.114206088,-0.670532793,0,,,,,-0.045,-0.114206088,0.0291,-0.337500012,-0.233734941,,,3.402,3.3962,3.307,3.9151,
,FSP,,10.35000038,1036939648,0.901010987,,REIT,,,,-0.011461307,0.022139186,0,,,,,0.0049,-0.011461307,-0.0212,-0.054729231,-0.102460778,,,10.082,10.359,10.6399,11.292,
,MDAS,,30.94000053,1836526336,0.241045286,,Health Care,,,,0.026883551,-0.019043016,0,,,,,0.0026,0.026883551,0.5424,0.402538589,0.565789483,,,30.8095,29.364,25.3193,23.146,
,FSNN,,3.25999999,38542820,0.114836278,,Telecommunication Services,,,,0.436123356,-0.345078668,6.27873E-06,,,,,0.055,0.436123356,0.734,0.530516345,0.034920601,,,2.923,2.5494,2.4254,2.8472,
,EAC,,2.050124884,28375578,3.735923899,,Industrials,,,,-0.202286017,-2.553463404,0,,,,,0.0149,-0.202286017,-0.345,-0.527621011,-0.754181673,,,2.1625,2.4703,2.9003,3.4196,
,CUTR,,12.78999996,165356512,0.297720358,,Health Care,,,,-0.100562608,-0.049075781,0,,,,,0.0063,-0.100562608,-0.0222,-0.173772588,0.197565505,,,12.9075,13.4842,13.9219,14.1923,
,H,,47.02000046,6527596544,0.632698397,,Consumer Discretionary,,,,-0.046053975,0.041209655,0,,,,,-0.0245,-0.046053975,-0.0017,-0.170576793,-0.219066581,,,48.262,49.4872,50.0482,53.9168,
,CORT,,4.980000019,541704192,0.024878892,,Health Care,,,,-0.056818216,-0.020789944,0,,,,,-0.046,-0.056818216,0.3245,-0.17138106,0.660000006,,,4.951,4.7102,4.6312,5.2518,
,CKEC,,22.94000053,563817792,0.503754915,,Consumer Discretionary,,,,0.04988559,-0.016945191,0,,,,,0.0035,0.04988559,0.1419,-0.13564432,-0.126760558,,,22.286,23.05,22.8812,25.9608,
,VRNT,,40.56000137,2525013248,0.421303529,,Information Technology,,,,-0.134258214,0.002286721,0,,,,,-0.0139,-0.134258214,-0.06,-0.332290689,-0.304049379,,,40.6045,44.6135,46.605,54.3565,
,VSI,,32.70000076,952242240,0.593548532,,Consumer Discretionary,,,,0.072131173,0.06158937,0,,,,,-0.0242,0.072131173,0.0018,-0.122618719,-0.326883501,,,32.7685,31.2958,32.8211,36.0081,
,BCBP,,10.39999962,112752920,0.782250251,,Financials,,,,-0.069767501,0.060202432,0.088689499,,,,,-0.0105,-0.069767501,0.0545,-0.126642066,-0.068647164,,,10.582,10.5269,10.6638,11.3336,
,MACK,,7.900000095,913035584,-0.154589813,,Health Care,,,,-0.160467564,-0.119596653,0,,,,,-0.0378,-0.160467564,-0.0717,-0.361099859,-0.300884959,,,8.13,8.8179,9.3208,10.5139,
,CVGW,,49,851830400,0.194789958,,Consumer Staples,,,,-0.133969629,0.031930065,0,,,,,-0.0235,-0.133969629,0.1149,-0.041612179,0.052200436,,,51.577,52.0446,50.9298,51.6942,
,SBRA,,20.22999954,1317661952,0.803861742,,REIT,,,,-0.021760191,0.050311083,4.40174E-05,,,,,-0.0137,-0.021760191,-0.1078,-0.183886213,-0.28942178,,,20.005,20.4464,22.2905,25.3443,
,RGC,,18.87000084,2952502528,-0.305571288,,Consumer Discretionary,,,,0.018538642,0.048941533,0,,,,,0.0328,0.018538642,0.0218,-0.075750133,-0.07721652,,,18.459,18.9288,18.892,20.0734,
,AMRC,,6.25,290736832,0.987951826,,Industrials,,,,-0.084919463,0.036579473,0,,,,,0.0487,-0.084919463,0.0629,-0.183006546,-0.107142857,,,6.1355,6.44,6.2691,6.7119,
,POM,,26.01000023,6596582912,0.63138754,,Utilities,,,,0.023690864,0.035169724,0.027741636,,,,,-0.0073,0.023690864,0.085,-0.012934974,0.007420845,,,26.1875,26.2276,25.5301,26.1037,
,FBMS,,18.34000015,99093936,0.679920515,,Financials,,,,0.020022281,0.082138911,0.172795639,,,,,0.0212,0.020022281,0.0522,0.106344442,0.275716766,,,17.7531,16.9824,17.1533,16.5868,
,CPSI,,49.75,562308736,0.137576429,,Health Care,,,,0.02114119,0.038581019,0,,,,,0.0048,0.02114119,0.1995,-0.040672189,-0.135767081,,,48.6485,44.9898,44.8613,49.054,
,CME,,90.59999847,30644215808,0.935798152,,Financials,,,,-0.037731992,0.041175797,0,,,,,-0.0141,-0.037731992,0.0132,0.015054469,0.076760461,,,94.14,95.234,93.8975,94.2653,
,NXST,,58.70000076,1797441152,0.031307284,,Consumer Discretionary,,,,0.001877464,0.044405348,0,,,,,-0.0217,0.001877464,0.244,0.055603416,0.149568184,,,57.0875,56.5486,52.2086,54.5206,
,CYNO,,44.66999817,1015157376,0.384050798,,Health Care,,,,0.06205413,0.031107492,0,,,,,0.0155,0.06205413,0.487,0.157853708,0.629102773,,,41.68,39.5634,36.2027,36.0906,
,CEVA,,23.36000061,477549664,0.384638528,,Information Technology,,,,-0.079952691,0.004248773,0,,,,,-0.0226,-0.079952691,0.2579,0.202264552,0.287761929,,,24.0785,24.4824,21.9861,20.9258,
,CYTK,,10.46000004,406342464,0.165623842,,Health Care,,,,-0.115059196,-0.048798739,0,,,,,-0.027,-0.115059196,0.5635,0.556547673,0.305867633,,,11.044,10.6241,8.7828,7.7186,
,BDSI,,4.789999962,252266832,0.078083245,,Health Care,,,,-0.218597084,-0.259601952,8.29739E-06,,,,,-0.0204,-0.218597084,-0.1385,-0.398241214,-0.601497523,,,5.0815,5.4845,6.0117,7.4953,
,FORM,,9,523441920,0.558423017,,Information Technology,,,,0.033295059,-0.005301448,0,,,,,-0.0121,0.033295059,0.3274,-0.02173911,0.046511581,,,8.847,8.5908,7.6691,8.156,
,SAFT,,56.38000107,850947456,0.752272046,,Financials,,,,0.006606012,-0.016185488,0,,,,,0.01,0.006606012,0.0542,0.002317115,-0.074264659,,,54.751,55.8948,55.3054,56.7128,
,RRGB,,61.74000168,859911296,0.456929697,,Consumer Discretionary,,,,-0.085062261,0.046460606,0,,,,,-0.0016,-0.085062261,-0.1848,-0.280587254,-0.197921365,,,63.2765,67.7058,73.5907,79.1815,
,CAPR,,3.073625088,49961732,0.038542819,,Health Care,,,,-0.271652787,-0.228960877,0,,,,,0.0349,-0.271652787,-0.2411,-0.391361392,-0.180366643,,,3.4674,3.8541,4.0681,5.0944,
,STX,,36.65999985,10962507776,0.175324847,,Information Technology,,,,0.020033424,0.127343125,0,,,,,0.0003,0.020033424,-0.1684,-0.207124202,-0.423253209,,,35.427,36.2099,41.7183,47.4928,
,INBK,,28.69000053,128569848,0.800436507,,Financials,,,,-0.108547637,0.06312522,0,,,,,0.0159,-0.108547637,-0.1002,0.175608751,0.730608416,,,30.1195,30.6511,30.9512,27.362,
,NPO,,43.84000015,962618752,0.502483459,,Industrials,,,,-0.125648171,-0.024620339,0,,,,,-0.0303,-0.125648171,0.1237,-0.227397864,-0.291169259,,,45.632,47.712,46.3375,53.3908,
,SJM,,123.3399963,14760704000,0.490030836,,Consumer Staples,,,,0.017740687,0.025947272,0,,,,,-0.0115,0.017740687,0.0874,0.151374112,0.250026257,,,122.9585,119.7466,117.0937,115.4197,
,EEQ,,22.32999992,1636470016,0.193587415,,Energy,,,,-0.104651185,-0.184604666,0,,,,,0.0081,-0.104651185,-0.0408,-0.295642543,-0.382361353,,,19.3635,21.8079,22.847,26.5963,
,SPOK,,18.31999969,384746112,0.696919302,,Telecommunication Services,,,,-0.008121257,0.047888723,0,,,,,-0.0332,-0.008121257,0.1289,0.111595036,0.093817285,,,17.8575,17.9788,17.3243,17.5966,
,RJETQ,,3.930000067,200032704,3.199476822,,Industrials,,,,-0.073113142,0.126479318,0,,,,,-0.0839,-0.073113142,-0.3201,-0.571895432,-0.730637421,,,4.243,4.6997,4.4219,7.47,
,MGNX,,30.96999931,1062653504,0.319319529,,Health Care,,,,-0.104395672,-0.010075405,0,,,,,-0.0096,-0.104395672,0.4458,-0.184356115,-0.116909051,,,31.3875,32.0686,29.2238,31.6083,
,WHG,,52.09000015,448698400,0.283199138,,Financials,,,,-0.097452689,0.063285271,0,,,,,-0.0463,-0.097452689,-0.031,-0.107161283,-0.125002206,,,53.561,56.1582,55.812,57.6373,
,RNG,,23.57999992,1672904064,0.061500837,,Information Technology,,,,0.029244875,-0.02108788,0,,,,,-0.0296,0.029244875,0.2992,0.275283949,0.580428941,,,24.154,22.2984,20.424,18.8992,
,WYNN,,69.19000244,7027525120,-0.025163055,,Consumer Discretionary,,,,0.102278189,0.043042036,0,,,,,0.0003,0.102278189,0.3121,-0.290204594,-0.522449026,,,66.4435,66.1778,69.5476,90.5171,
,SITO,,2.079999924,35683956,0.148909947,,Information Technology,,,,-0.226765844,-0.126897169,0,,,,,-0.1579,-0.226765844,-0.48,0,0,,,2.477,2.9689,3.5179,3.5092,
,HNNA,,29.95999908,151755040,0.207966734,,Financials,,,,0.015249029,0.075048578,0,,,,,0.0088,0.015249029,0.2636,0.596818658,0.379719844,,,30.6631,29.198,27.0113,23.4261,
,NCT,,4.079999924,271265536,0.371690947,,REIT,,,,-0.034140496,0.047403737,0.227021187,,,,,0,-0.034140496,-0.0429,-0.021950791,0.013924457,,,4.1065,4.406,4.6062,4.7738,
,RUSHA,,21.88999939,883817536,0.941574402,,Industrials,,,,-0.100287733,0.091497393,0,,,,,0.0009,-0.100287733,-0.0955,-0.164822581,-0.317004683,,,21.618,23.2604,24.3665,25.4626,
,DKS,,35.34999847,4064621824,0.430797516,,Consumer Discretionary,,,,-0.090975221,0.087815058,0,,,,,-0.0423,-0.090975221,-0.2848,-0.312806821,-0.279847786,,,36.729,39.842,44.8871,49.5092,
