Summary results for input/data60BR
Run Date,16/08/22
Period,20
Start,2011/09
End,2016/06
Avg#Sec,1251

Average Returns,Gross,Net
Monthly, 3.660555%, 3.637368%
Annual, 14.642218%, 14.549472%
Median, 3.560315%, 3.513935%
Sample Std Dev
Monthly, 7.596323%
Annual, 15.192645%
Total Cpd Rtn, 94.769958%, 93.892527%
Ann Cpd Rtn, 49.180886%, 48.777290%

Sharpe Ratio, 0.460822
Ann Turnover, 15.903755%
Txn cost(%AUM), 0.092746%

T-Bill, 0.160000%
